image_file,mask_file,image_shape,mask_shape,image_hw,mask_hw,same_hw,status
10.png,10.npy,"(512, 648, 3)","(1, 512, 648)","(512, 648)","(512, 648)",True,ok
10015.png,10015.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
10017.png,10017.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
10030.png,10030.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
10070.png,10070.npy,"(712, 414, 3)","(2, 712, 414)","(712, 414)","(2, 712)",False,shape_mismatch
1008.png,1008.npy,"(158, 1310, 3)","(1, 158, 1310)","(158, 1310)","(158, 1310)",True,ok
10138.png,10138.npy,"(3888, 2592, 3)","(1, 3888, 2592)","(3888, 2592)","(3888, 2592)",True,ok
10139.png,10139.npy,"(846, 759, 3)","(3, 846, 759)","(846, 759)","(3, 846)",False,shape_mismatch
10147.png,10147.npy,"(1912, 2568)","(1, 1912, 2568)","(1912, 2568)","(1912, 2568)",True,ok
10152.png,10152.npy,"(152, 1201, 3)","(1, 152, 1201)","(152, 1201)","(152, 1201)",True,ok
10176.png,10176.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
10180.png,10180.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
10208.png,10208.npy,"(520, 696, 3)","(1, 520, 696)","(520, 696)","(520, 696)",True,ok
10266.png,10266.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
10277.png,10277.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
10290.png,10290.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
10296.png,10296.npy,"(81, 113, 3)","(1, 81, 113)","(81, 113)","(81, 113)",True,ok
10307.png,10307.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
10348.png,10348.npy,"(256, 320, 4)","(2, 256, 320)","(256, 320)","(2, 256)",False,shape_mismatch
10398.png,10398.npy,"(402, 618, 3)","(1, 402, 618)","(402, 618)","(402, 618)",True,ok
10408.png,10408.npy,"(64, 434, 3)","(1, 64, 434)","(64, 434)","(64, 434)",True,ok
1041.png,1041.npy,"(140, 403, 3)","(1, 140, 403)","(140, 403)","(140, 403)",True,ok
10435.png,10435.npy,"(422, 1137, 3)","(2, 422, 1137)","(422, 1137)","(2, 422)",False,shape_mismatch
10448.png,10448.npy,"(68, 753, 3)","(1, 68, 753)","(68, 753)","(68, 753)",True,ok
10457.png,10457.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
10458.png,10458.npy,"(156, 536, 3)","(1, 156, 536)","(156, 536)","(156, 536)",True,ok
10476.png,10476.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
10505.png,10505.npy,"(102, 986, 3)","(1, 102, 986)","(102, 986)","(102, 986)",True,ok
10570.png,10570.npy,"(458, 1216, 3)","(1, 458, 1216)","(458, 1216)","(458, 1216)",True,ok
10602.png,10602.npy,"(490, 655, 3)","(1, 490, 655)","(490, 655)","(490, 655)",True,ok
10632.png,10632.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
10636.png,10636.npy,"(360, 360, 4)","(1, 360, 360)","(360, 360)","(360, 360)",True,ok
10645.png,10645.npy,"(120, 640, 3)","(1, 120, 640)","(120, 640)","(120, 640)",True,ok
1070.png,1070.npy,"(520, 696, 3)","(3, 520, 696)","(520, 696)","(3, 520)",False,shape_mismatch
10703.png,10703.npy,"(512, 620, 3)","(1, 512, 620)","(512, 620)","(512, 620)",True,ok
10730.png,10730.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
10742.png,10742.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
10799.png,10799.npy,"(3888, 2592, 3)","(1, 3888, 2592)","(3888, 2592)","(3888, 2592)",True,ok
10838.png,10838.npy,"(573, 355, 3)","(1, 573, 355)","(573, 355)","(573, 355)",True,ok
10855.png,10855.npy,"(360, 360, 4)","(2, 360, 360)","(360, 360)","(2, 360)",False,shape_mismatch
10878.png,10878.npy,"(507, 180, 3)","(1, 507, 180)","(507, 180)","(507, 180)",True,ok
10884.png,10884.npy,"(392, 380, 3)","(1, 392, 380)","(392, 380)","(392, 380)",True,ok
10886.png,10886.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
10911.png,10911.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
10939.png,10939.npy,"(360, 360, 4)","(2, 360, 360)","(360, 360)","(2, 360)",False,shape_mismatch
10951.png,10951.npy,"(177, 673, 3)","(1, 177, 673)","(177, 673)","(177, 673)",True,ok
1097.png,1097.npy,"(360, 360, 4)","(3, 360, 360)","(360, 360)","(3, 360)",False,shape_mismatch
10980.png,10980.npy,"(512, 512, 4)","(2, 512, 512)","(512, 512)","(2, 512)",False,shape_mismatch
10986.png,10986.npy,"(231, 275, 3)","(2, 231, 275)","(231, 275)","(2, 231)",False,shape_mismatch
10991.png,10991.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
10992.png,10992.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
1101.png,1101.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
11010.png,11010.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
11014.png,11014.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
11128.png,11128.npy,"(365, 483, 3)","(1, 365, 483)","(365, 483)","(365, 483)",True,ok
11130.png,11130.npy,"(439, 419, 3)","(2, 439, 419)","(439, 419)","(2, 439)",False,shape_mismatch
11206.png,11206.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
11223.png,11223.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
11240.png,11240.npy,"(214, 755, 3)","(1, 214, 755)","(214, 755)","(214, 755)",True,ok
11249.png,11249.npy,"(512, 704, 3)","(1, 512, 704)","(512, 704)","(512, 704)",True,ok
11277.png,11277.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
11296.png,11296.npy,"(512, 512, 3)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
11299.png,11299.npy,"(473, 925, 3)","(2, 473, 925)","(473, 925)","(2, 473)",False,shape_mismatch
11307.png,11307.npy,"(520, 696, 3)","(1, 520, 696)","(520, 696)","(520, 696)",True,ok
11333.png,11333.npy,"(1200, 1600, 3)","(3, 1200, 1600)","(1200, 1600)","(3, 1200)",False,shape_mismatch
11356.png,11356.npy,"(256, 256, 4)","(3, 256, 256)","(256, 256)","(3, 256)",False,shape_mismatch
1137.png,1137.npy,"(270, 480, 3)","(2, 270, 480)","(270, 480)","(2, 270)",False,shape_mismatch
11392.png,11392.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
11399.png,11399.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
11426.png,11426.npy,"(512, 696, 3)","(1, 512, 696)","(512, 696)","(512, 696)",True,ok
