mask_file,mask_stem,mask_shape,mask_dtype,mask_min,mask_max,mask_unique_count,mask_unique_preview,nonzero_pixels,total_pixels,mask_area_ratio
10.npy,10,"(512, 648)",uint8,0.0,1.0,2,"[0, 1]",928,331776,0.0027970679012345677
10015.npy,10015,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",3747,1920000,0.0019515625
10017.npy,10017,"(256, 320)",uint8,0.0,1.0,2,"[0, 1]",1175,81920,0.01434326171875
10030.npy,10030,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",45946,666000,0.06898798798798798
10070.npy,10070,"(2, 712, 414)",uint8,0.0,1.0,2,"[0, 1]",12693,589536,0.02153049177658362
1008.npy,1008,"(158, 1310)",uint8,0.0,1.0,2,"[0, 1]",12674,206980,0.06123296936902116
10138.npy,10138,"(3888, 2592)",uint8,0.0,1.0,2,"[0, 1]",597145,10077696,0.05925411919549865
10139.npy,10139,"(3, 846, 759)",uint8,0.0,1.0,2,"[0, 1]",3714,1926342,0.0019280065533534543
10147.npy,10147,"(1912, 2568)",uint8,0.0,1.0,2,"[0, 1]",29953,4910016,0.006100387452912577
10152.npy,10152,"(152, 1201)",uint8,0.0,1.0,2,"[0, 1]",13306,182552,0.0728888207195758
10176.npy,10176,"(2, 666, 1000)",uint8,0.0,1.0,2,"[0, 1]",97529,1332000,0.07321996996996998
10180.npy,10180,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",42580,666000,0.06393393393393393
10208.npy,10208,"(520, 696)",uint8,0.0,1.0,2,"[0, 1]",4626,361920,0.012781830238726791
10266.npy,10266,"(2, 666, 1000)",uint8,0.0,1.0,2,"[0, 1]",98862,1332000,0.07422072072072072
10277.npy,10277,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",65549,666000,0.09842192192192192
10290.npy,10290,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",11306,1920000,0.005888541666666667
10296.npy,10296,"(81, 113)",uint8,0.0,1.0,2,"[0, 1]",793,9153,0.08663826067955861
10307.npy,10307,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",8086,3840000,0.0021057291666666668
10348.npy,10348,"(2, 256, 320)",uint8,0.0,1.0,2,"[0, 1]",4245,163840,0.025909423828125
10398.npy,10398,"(402, 618)",uint8,0.0,1.0,2,"[0, 1]",1063,248436,0.004278767972435557
10408.npy,10408,"(64, 434)",uint8,0.0,1.0,2,"[0, 1]",2498,27776,0.08993375576036866
