epoch,binary_accuracy,dice_coefficient,iou_coefficient,learning_rate,loss,precision,recall,val_binary_accuracy,val_dice_coefficient,val_iou_coefficient,val_loss,val_precision,val_recall
0,0.8809561133384705,0.04372916370630264,0.023980367928743362,9.999999747378752e-05,0.7161153554916382,0.05013294890522957,0.1969829499721527,0.9660712480545044,0.049188628792762756,0.027464473620057106,0.7373213768005371,0.20009666681289673,0.004843370523303747
1,0.9555728435516357,0.04347587749361992,0.023777054622769356,9.999999747378752e-05,0.6570147275924683,0.116244375705719,0.10489160567522049,0.9665515422821045,0.047262050211429596,0.026134710758924484,0.6717115044593811,0.22972972691059113,6.629411655012518e-05
2,0.966704785823822,0.0423932783305645,0.023090222850441933,9.999999747378752e-05,0.6278746724128723,0.13887637853622437,0.051619719713926315,0.9665505290031433,0.044952161610126495,0.02471153996884823,0.6666632294654846,0.03846153989434242,7.799308150424622e-06
3,0.9673073291778564,0.042576778680086136,0.02323063090443611,9.999999747378752e-05,0.6096734404563904,0.15005554258823395,0.05263420566916466,0.9665278196334839,0.046240974217653275,0.025475334376096725,0.6401169896125793,0.0,0.0
4,0.9697374105453491,0.04424820840358734,0.02411511354148388,9.999999747378752e-05,0.6005379557609558,0.17675131559371948,0.041808173060417175,0.9652770161628723,0.049568936228752136,0.027615448459982872,0.6336897611618042,0.2947157025337219,0.02746916376054287
5,0.9702997803688049,0.04759830981492996,0.026124365627765656,9.999999747378752e-05,0.5923328995704651,0.28213775157928467,0.08514612913131714,0.9578841924667358,0.054886724799871445,0.031070716679096222,0.6330502033233643,0.25628000497817993,0.13634361326694489
6,0.9669898152351379,0.05149705335497856,0.028504444286227226,9.999999747378752e-05,0.5887925624847412,0.205266535282135,0.08970005065202713,0.9607922434806824,0.05089649185538292,0.028529886156320572,0.5910305976867676,0.2771475613117218,0.10718199610710144
7,0.9672741889953613,0.04870129004120827,0.02712017297744751,9.999999747378752e-05,0.5831077694892883,0.2496708333492279,0.12305576354265213,0.9394768476486206,0.06407978385686874,0.03765851631760597,0.6098408102989197,0.22985009849071503,0.3444681465625763
8,0.9655472040176392,0.04973794147372246,0.02780756913125515,9.999999747378752e-05,0.5777174234390259,0.22349639236927032,0.12631984055042267,0.9572022557258606,0.05586916208267212,0.03187258914113045,0.583317756652832,0.285558819770813,0.18623967468738556
9,0.9666960835456848,0.0525859110057354,0.029588846489787102,9.999999747378752e-05,0.5727528929710388,0.2724873721599579,0.16096378862857819,0.9593546390533447,0.056890688836574554,0.032603003084659576,0.5746328830718994,0.32384687662124634,0.19795814156532288
10,0.9663649201393127,0.05515336990356445,0.030979758128523827,9.999999747378752e-05,0.5699040293693542,0.24227192997932434,0.1322634518146515,0.9403324127197266,0.060286786407232285,0.034799765795469284,0.6014723777770996,0.19342081248760223,0.24735896289348602
11,0.9680926203727722,0.050618261098861694,0.028213439509272575,9.999999747378752e-05,0.5681135058403015,0.221372589468956,0.08563726395368576,0.9592629671096802,0.0611923448741436,0.03550856560468674,0.5662407875061035,0.3231445550918579,0.19924892485141754
12,0.9677298069000244,0.05595478415489197,0.031766027212142944,2.9999999242136255e-05,0.5621989369392395,0.3046700954437256,0.17890574038028717,0.9603917002677917,0.05901024863123894,0.03385113179683685,0.5662711262702942,0.32278138399124146,0.1678801029920578
13,0.9655739068984985,0.059561409056186676,0.03412938117980957,2.9999999242136255e-05,0.5588663220405579,0.2830619513988495,0.20325344800949097,0.9599574208259583,0.059659216552972794,0.034551914781332016,0.5616801381111145,0.3294506371021271,0.1905916929244995
14,0.9658033847808838,0.05888974294066429,0.033688053488731384,2.9999999242136255e-05,0.5585546493530273,0.27862322330474854,0.19054819643497467,0.9605652689933777,0.06167273968458176,0.035683996975421906,0.5615233182907104,0.3450044095516205,0.19938930869102478
15,0.9670745730400085,0.05998004600405693,0.03423164784908295,2.9999999242136255e-05,0.5562606453895569,0.30455127358436584,0.19818100333213806,0.9587089419364929,0.059038661420345306,0.03399612382054329,0.5591715574264526,0.3019399642944336,0.1788693368434906
