image_id,n_samples,n_classes,classes
10,2,2,"authentic,forged"
10015,2,2,"authentic,forged"
10017,2,2,"authentic,forged"
10030,2,2,"authentic,forged"
10070,2,2,"authentic,forged"
1008,2,2,"authentic,forged"
10138,2,2,"authentic,forged"
10139,2,2,"authentic,forged"
10147,2,2,"authentic,forged"
10152,2,2,"authentic,forged"
10176,2,2,"authentic,forged"
10180,2,2,"authentic,forged"
10208,2,2,"authentic,forged"
10266,2,2,"authentic,forged"
10277,2,2,"authentic,forged"
10290,2,2,"authentic,forged"
10296,2,2,"authentic,forged"
10348,2,2,"authentic,forged"
10398,2,2,"authentic,forged"
10408,2,2,"authentic,forged"
1041,2,2,"authentic,forged"
10435,2,2,"authentic,forged"
10448,2,2,"authentic,forged"
10457,2,2,"authentic,forged"
10458,2,2,"authentic,forged"
10476,2,2,"authentic,forged"
10570,2,2,"authentic,forged"
10602,2,2,"authentic,forged"
10632,2,2,"authentic,forged"
10636,2,2,"authentic,forged"
10645,2,2,"authentic,forged"
10703,2,2,"authentic,forged"
10730,2,2,"authentic,forged"
10742,2,2,"authentic,forged"
10799,2,2,"authentic,forged"
10838,2,2,"authentic,forged"
10855,2,2,"authentic,forged"
10878,2,2,"authentic,forged"
10884,2,2,"authentic,forged"
10886,2,2,"authentic,forged"
10911,2,2,"authentic,forged"
10939,2,2,"authentic,forged"
10951,2,2,"authentic,forged"
10980,2,2,"authentic,forged"
10986,2,2,"authentic,forged"
10991,2,2,"authentic,forged"
10992,2,2,"authentic,forged"
1101,2,2,"authentic,forged"
11010,2,2,"authentic,forged"
11128,2,2,"authentic,forged"
11206,2,2,"authentic,forged"
11223,2,2,"authentic,forged"
11240,2,2,"authentic,forged"
11249,2,2,"authentic,forged"
11277,2,2,"authentic,forged"
11296,2,2,"authentic,forged"
11299,2,2,"authentic,forged"
11307,2,2,"authentic,forged"
11356,2,2,"authentic,forged"
11392,2,2,"authentic,forged"
11399,2,2,"authentic,forged"
11426,2,2,"authentic,forged"
1143,2,2,"authentic,forged"
11440,2,2,"authentic,forged"
11446,2,2,"authentic,forged"
11501,2,2,"authentic,forged"
11508,2,2,"authentic,forged"
11513,2,2,"authentic,forged"
11547,2,2,"authentic,forged"
11548,2,2,"authentic,forged"
11639,2,2,"authentic,forged"
11646,2,2,"authentic,forged"
11662,2,2,"authentic,forged"
