sample_id,image_id,gt_area,surface_area,edge_area,area_delta_edge_minus_surface,change_pixels,surface_dice,edge_dice,dice_delta_edge_minus_surface
forged__54000,54000,10648,28815,25921,-2894,7542,0.4594683627701898,0.487243293499959,0.027774930729769165
forged__16647,16647,12641,19370,15420,-3950,6620,0.6345943581893724,0.6457360749795089,0.011141716790136535
forged__53404,53404,4100,9286,4638,-4648,6460,0.484237262811893,0.5566491187914855,0.07241185597959249
forged__48272,48272,8807,17422,13455,-3967,6439,0.4357771931831179,0.4013116521426646,-0.034465541040453296
forged__27195,27195,16480,26098,23570,-2528,6350,0.7226736812438348,0.6954806491885144,-0.02719303205532042
forged__16866,16866,14375,15729,12293,-3436,6274,0.4927584374169546,0.4770511474426279,-0.015707289974326688
forged__14770,14770,17448,18041,14484,-3557,6079,0.8342303248894023,0.8060879368658399,-0.028142388023562392
forged__17846,17846,18234,22201,20065,-2136,5544,0.6223816000989242,0.5144259641243897,-0.1079556359745345
forged__23357,23357,3542,8249,5083,-3166,5536,0.35874819777796624,0.4711884057971015,0.11244020801913523
forged__19953,19953,9254,16896,13257,-3639,5501,0.6451242829827916,0.5057083203767048,-0.1394159626060868
forged__39299,39299,5234,10575,8283,-2292,5416,0.2637737997343286,0.21913146408226677,-0.0446423356520618
forged__15733,15733,5332,10380,8286,-2094,5386,0.6430753564154786,0.7319723894845058,0.08889703306902719
forged__29229,29229,12904,14162,10604,-3558,5294,0.47971624916869876,0.509868980772503,0.030152731603804217
forged__339,339,20490,25270,23154,-2116,5124,0.6609265734265735,0.5664467051599303,-0.09447986826664312
forged__35222,35222,14968,13401,10771,-2630,5052,0.6041806196905073,0.5018843000893586,-0.10229631960114871
forged__47261,47261,15600,31550,33508,1958,5040,0.47775185577942736,0.4826504846460862,0.004898628866658816
forged__54152,54152,4434,12577,9715,-2862,5014,0.4995591088119452,0.6055551629090395,0.10599605409709434
forged__34597,34597,5509,10629,7919,-2710,4794,0.5482711612343537,0.58266309204647,0.034391930812116334
forged__30217,30217,7330,9135,5969,-3166,4712,0.7561494078348011,0.6805022934055193,-0.07564711442928185
forged__20833,20833,5137,7242,8718,1476,4706,0.633169076662089,0.6162396246842295,-0.016929451977859444
forged__28412,28412,8315,13775,10995,-2780,4688,0.6065187867813491,0.505748316934231,-0.10077046984711813
forged__12793,12793,7206,10401,7665,-2736,4630,0.770943374794116,0.7383498083518257,-0.03259356644229028
forged__24600,24600,8272,10416,11967,1551,4613,0.5578981164383562,0.5689016255743861,0.011003509136029876
forged__5436,5436,6840,11104,10696,-408,4612,0.37984841729826124,0.3886861313868613,0.008837714088600068
forged__18440,18440,3839,6678,3687,-2991,4579,0.5391271275078444,0.6011161307467446,0.06198900323890022
forged__62519,62519,18716,29448,33552,4104,4502,0.681754007142264,0.6678656156730696,-0.013888391469194405
forged__44829,44829,11328,21774,26136,4362,4406,0.35889070146818924,0.33472133247918,-0.024169368989009232
forged__16219,16219,6302,10848,7714,-3134,4328,0.7140524781341108,0.7988013698630136,0.08474889172890288
forged__20587,20587,10237,9965,7105,-2860,4322,0.5182655182655183,0.6108868642601776,0.09262134599465932
forged__25388,25388,7910,9644,6445,-3199,4303,0.756978466446394,0.6418669453152211,-0.11511152113117284
forged__21264,21264,9300,18140,15835,-2305,4159,0.62966472303207,0.6376765466481003,0.008011823616030256
forged__33686,33686,6594,12103,12273,170,4154,0.6730491522704177,0.6651825939471034,-0.007866558323314288
forged__23904,23904,10102,12704,9640,-3064,3996,0.8160133298254845,0.7575726876709553,-0.058440642154529154
forged__23527,23527,7118,10423,7698,-2725,3919,0.41844820705775043,0.49878509719222464,0.0803368901344742
forged__34873,34873,3721,5287,3696,-1591,3899,0.5512877442273535,0.5495483349062964,-0.001739409321057095
forged__33580,33580,25830,27843,27801,-42,3876,0.6827641458461424,0.6658462456415133,-0.016917900204629133
forged__20753,20753,24485,27035,30182,3147,3869,0.7067934782608696,0.7267272760531948,0.01993379779232518
forged__35744,35744,5259,4306,1990,-2316,3774,0.16769472033455307,0.1980962891433301,0.030401568808777035
forged__21728,21728,14101,14119,13538,-581,3727,0.8522324592487598,0.801259090415717,-0.05097336883304282
forged__49982,49982,4633,7291,5975,-1316,3722,0.4572291177457229,0.49811463046757165,0.04088551272184876
forged__27829,27829,3750,14353,17505,3152,3702,0.20692702866928134,0.17642907551164433,-0.03049795315763701
forged__57643,57643,6063,6624,4380,-2244,3694,0.7948293528809017,0.6777745858469788,-0.11705476703392292
forged__569,569,34445,36593,40141,3548,3668,0.7695881077733044,0.7647279650336525,-0.0048601427396519625
forged__44622,44622,8060,9356,7707,-1649,3657,0.6855764813964171,0.6395636455888882,-0.04601283580752891
forged__26435,26435,4732,4606,2682,-1924,3516,0.3339044763332619,0.4124629080118694,0.07855843167860749
forged__44236,44236,5775,17869,19135,1266,3506,0.3280324818135679,0.3288639100762746,0.0008314282627066572
forged__5130,5130,5721,6317,7245,928,3482,0.5642133244725037,0.5608514576584914,-0.003361866814012293
forged__33053,33053,9728,6036,5217,-819,3453,0.4651103780766303,0.4531281365005018,-0.011982241576128483
forged__1856,1856,28655,21006,20548,-458,3430,0.7687722760314936,0.7266223604251774,-0.0421499156063162
forged__40828,40828,3150,5991,4369,-1622,3350,0.35182146373482115,0.43596222901981646,0.08414076528499531
forged__38913,38913,4845,6533,5071,-1462,3316,0.4888381086306908,0.5338846308995563,0.04504652226886546
