image_id,sample_id,label,dice,iou,predicted_area,gt_area,max_probability
54000,authentic__54000,0,0.0,0.0,33081,0,0.9933387637138367
48272,authentic__48272,0,0.0,0.0,26588,0,0.9936162233352661
8874,authentic__8874,0,0.0,0.0,18240,0,0.9965609908103943
16866,authentic__16866,0,0.0,0.0,17174,0,0.9993602633476257
33580,authentic__33580,0,0.0,0.0,16366,0,0.988274097442627
62519,authentic__62519,0,0.0,0.0,14752,0,0.9931790828704834
13451,authentic__13451,0,0.0,0.0,13232,0,0.9989944100379944
1856,authentic__1856,0,0.0,0.0,13075,0,0.9912102222442627
569,authentic__569,0,0.0,0.0,12143,0,0.992461621761322
35586,authentic__35586,0,0.0,0.0,11365,0,0.9959684610366821
