image_id,sample_id,label,dice,iou,predicted_area,gt_area,max_probability
10,forged__10,1,0.0,0.0,11036,185,0.9961662292480469
10296,forged__10296,1,0.0,0.0,0,5698,0.8948026895523071
1143,forged__1143,1,0.0,0.0,0,391,0.5952466726303101
11740,forged__11740,1,0.0,0.0,0,153,0.7799844741821289
12025,forged__12025,1,0.0,0.0,424,5280,0.994901180267334
12150,forged__12150,1,0.0,0.0,6,1167,0.9156167507171631
12629,forged__12629,1,0.0,0.0,2307,263,0.9955671429634094
13123,forged__13123,1,0.0,0.0,2222,158,0.9989838004112244
13839,forged__13839,1,0.0,0.0,0,778,0.7791439890861511
13971,forged__13971,1,0.0,0.0,0,241,0.8351290822029114
