image_id,sample_id,label,dice,iou,predicted_area,gt_area,max_probability
10,forged__10,1,0.0,0.0,6136,185,1.0
1008,forged__1008,1,0.0,0.0,38,4014,0.9202122092247009
1143,forged__1143,1,0.0,0.0,0,391,0.5816888809204102
11740,forged__11740,1,0.0,0.0,1,153,0.9079993963241577
12025,forged__12025,1,0.0,0.0,690,5280,1.0
12150,forged__12150,1,0.0,0.0,82,1167,1.0
12629,forged__12629,1,0.0,0.0,149,263,1.0
13123,forged__13123,1,0.0,0.0,3028,158,1.0
13839,forged__13839,1,0.0,0.0,0,778,0.8092702031135559
13971,forged__13971,1,0.0,0.0,0,241,0.8633955121040344
