bin,bin_lower,bin_upper,count,avg_confidence,empirical_accuracy
0,0.0,0.1,1,0.07110595703125,0.0
1,0.1,0.2,5,0.1440673828125,0.2
2,0.2,0.30000000000000004,14,0.25417654854910715,0.2857142857142857
3,0.30000000000000004,0.4,19,0.3661980879934211,0.42105263157894735
4,0.4,0.5,51,0.45571959252450983,0.39215686274509803
5,0.5,0.6000000000000001,38,0.552747224506579,0.2631578947368421
6,0.6000000000000001,0.7000000000000001,84,0.6527971540178571,0.3333333333333333
7,0.7000000000000001,0.8,90,0.7558430989583333,0.32222222222222224
8,0.8,0.9,166,0.855445218373494,0.4036144578313253
9,0.9,1.0,555,0.9715881897522523,0.6918918918918919
