bin,bin_lower,bin_upper,count,avg_confidence,empirical_accuracy
0,0.0,0.1,0,0.0,0.0
1,0.1,0.2,2,0.19171142578125,0.0
2,0.2,0.30000000000000004,29,0.242431640625,0.06896551724137931
3,0.30000000000000004,0.4,24,0.3507588704427083,0.16666666666666666
4,0.4,0.5,46,0.45505689538043476,0.2608695652173913
5,0.5,0.6000000000000001,44,0.5487615411931818,0.25
6,0.6000000000000001,0.7000000000000001,72,0.6540662977430556,0.2777777777777778
7,0.7000000000000001,0.8,90,0.7543728298611111,0.34444444444444444
8,0.8,0.9,167,0.8534074429266467,0.40119760479041916
9,0.9,1.0,549,0.9743114256033698,0.7358834244080146
