rank,model_name,strategy,postprocess_mode,pixel_threshold,image_score_type,image_threshold,min_component_area,min_component_mean_probability,test_dice_forged_only,test_iou_forged_only,test_component_f1_iou010,test_component_f1_iou025,test_image_f1,test_image_specificity,authentic_fp_rate,final_score
1,segformer_b0_rgb_full,low_false_alarm,morph_area_probability_clean,0.75,max_probability,0.53884765625,500,0.0,0.5572968914104983,0.386286608861164,0.32626661875673735,0.30398850161696017,0.7292110874200426,0.2733050847457627,0.24364406779661016,0.5737339706075452
2,segformer_b0_rgb_full,balanced_final_score,morph_area_probability_clean,0.75,max_probability,0.53884765625,500,0.0,0.5572968914104983,0.386286608861164,0.32626661875673735,0.30398850161696017,0.7292110874200426,0.2733050847457627,0.24364406779661016,0.5737339706075452
3,efficientnetb0_unet_rgb_full,balanced_final_score,morph_area_probability_clean,0.75,max_probability,0.70486328125,500,0.0,0.5198818758696719,0.3512435037407156,0.32514700795572465,0.31061916291940506,0.740029542097489,0.3601694915254237,0.19915254237288135,0.5714208084882378
4,dinov2_lite_decoder_rgb_full,balanced_final_score,morph_area_probability_clean,0.75,max_probability,0.31,500,0.0,0.5292523233991375,0.3598525646644745,0.3282584478277014,0.30152246565168955,0.7031551835157759,0.03389830508474576,0.23940677966101695,0.5600526059175752
5,dinov2_lite_decoder_rgb_full,low_false_alarm,min_area_clean,0.75,max_probability,0.31,500,0.0,0.5296053348636811,0.36017903724819483,0.32924563359345965,0.30174656261612787,0.7031551835157759,0.03389830508474576,0.24152542372881355,0.5599992275580458
6,efficientnetb0_unet_rgb_full,low_false_alarm,min_area_clean,0.65,max_probability,0.70486328125,500,0.0,0.5064746044429308,0.3391134867539504,0.3200522534291313,0.29849771391247554,0.740029542097489,0.3601694915254237,0.2542372881355932,0.5544376257046878
7,segformer_b0_rgb_full,best_forged_dice,min_area_clean,0.75,max_probability,0.53884765625,100,0.0,0.558605794031132,0.38754546932263517,0.34527336385671964,0.31564772421222725,0.7292110874200426,0.2733050847457627,0.4300847457627119,0.5416556372065422
8,segformer_b0_rgb_full,best_component_f1,min_area_clean,0.75,max_probability,0.53884765625,100,0.0,0.558605794031132,0.38754546932263517,0.34527336385671964,0.31564772421222725,0.7292110874200426,0.2733050847457627,0.4300847457627119,0.5416556372065422
9,efficientnetb0_unet_rgb_full,best_component_f1,min_area_clean,0.75,max_probability,0.70486328125,100,0.0,0.5212977618245049,0.35253734549540616,0.3457683741648107,0.3262806236080178,0.740029542097489,0.3601694915254237,0.3855932203389831,0.5397835745314805
10,unetpp_resnet34_rgb_full,low_false_alarm,morph_area_probability_clean,0.75,pred_mask_ratio_clean,0.0,500,0.4,0.5048553666806604,0.3376632303189569,0.2935841451125294,0.28485052065838096,0.7001270648030495,0.0,0.298728813559322,0.530375064865109
