image_id,image_path,class_name,gt_area,gt_area_ratio,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label,gt_component_count,pred_component_count,matched_component_count
22182,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/22182.png,forged,4144,0.063232421875,4359,0.0665130615234375,0.9655415735626774,0.9333788085508554,0.984375,1,2,2,2
30045,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/30045.png,forged,6076,0.09271240234375,5897,0.0899810791015625,0.9638352960831551,0.9301950669042367,0.9912109375,1,2,2,2
16219,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/16219.png,forged,6302,0.096160888671875,5925,0.0904083251953125,0.9598429704755063,0.922786601668143,0.99853515625,1,2,2,2
63947,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/63947.png,forged,10715,0.1634979248046875,10893,0.1662139892578125,0.9593669011479111,0.9219069643340576,0.99658203125,1,3,3,3
8074,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/8074.png,forged,14693,0.2241973876953125,14798,0.225799560546875,0.9410328574821436,0.8886327249446774,0.9990234375,1,2,2,2
20587,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/20587.png,forged,10237,0.1562042236328125,10656,0.16259765625,0.9406021155413746,0.8878648233497075,0.99951171875,1,4,3,3
13670,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/13670.png,forged,7490,0.114288330078125,7407,0.1130218505859375,0.9387124924485554,0.8845034788123403,0.99951171875,1,2,2,2
35744,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/35744.png,forged,5259,0.0802459716796875,5070,0.077362060546875,0.9301965340310756,0.8695022624458009,0.9970703125,1,2,1,1
19953,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/19953.png,forged,9254,0.141204833984375,9815,0.1497650146484375,0.9277885573447596,0.8653037268916629,1.0,1,2,2,2
1856,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/1856.png,forged,28655,0.4372406005859375,30647,0.4676361083984375,0.9186873967152563,0.8496038924588311,0.99951171875,1,2,1,1
