bin,bin_lower,bin_upper,count,avg_confidence,empirical_accuracy
0,0.0,0.1,13,0.07120455228365384,0.0
1,0.1,0.2,50,0.145697021484375,0.08
2,0.2,0.30000000000000004,26,0.23994797926682693,0.19230769230769232
3,0.30000000000000004,0.4,42,0.35055106026785715,0.38095238095238093
4,0.4,0.5,26,0.4467210036057692,0.3076923076923077
5,0.5,0.6000000000000001,32,0.5529632568359375,0.5625
6,0.6000000000000001,0.7000000000000001,51,0.6508214613970589,0.39215686274509803
7,0.7000000000000001,0.8,71,0.7534661091549296,0.36619718309859156
8,0.8,0.9,134,0.8552318971548507,0.39552238805970147
9,0.9,1.0,578,0.9713958423442907,0.6937716262975778
