model_name,strategy,pixel_threshold,image_score_type,image_threshold,postprocess_mode,min_component_area,min_component_mean_probability,morphology,morph_kernel_size,top_k_components,top_k_sort_by,val_forged_dice,val_forged_iou,val_component_f1_iou010,val_component_f1_iou025,val_image_f1,val_authentic_fp_rate,val_small_mask_dice,balanced_score
unetpp_resnet34_rgb_full,best_forged_dice,0.75,max_component_mean_probability,0.7647721147537232,raw,0,0.0,none,3,,area,0.48526279628993474,0.32036104685444733,0.20410665032178976,0.1857186638063132,0.7027863777089783,0.6916666666666667,0.2160312951485989,0.4230925834903869
unetpp_resnet34_rgb_full,best_component_f1,0.75,pred_mask_ratio_raw,0.000213623046875,min_area_clean,25,0.0,none,3,,area,0.48524056959609135,0.3203416726487734,0.2805309734513274,0.2601769911504425,0.700152207001522,0.5916666666666667,0.19792142133987453,0.46166405078843487
unetpp_resnet34_rgb_full,balanced_final_score,0.75,pred_mask_ratio_raw,0.000213623046875,morph_area_probability_clean,500,0.0,open_close,5,,area,0.4814165283918171,0.3170168366721363,0.2525320729237002,0.237677245104659,0.700152207001522,0.2625,4.694892786583412e-10,0.5191592445683655
unetpp_resnet34_rgb_full,small_object_focused,0.65,max_probability,0.79,min_area_clean,25,0.0,none,3,,area,0.48282133584306614,0.3182363074630768,0.27488804684808815,0.2597313124354117,0.6998444790046656,0.7791666666666667,0.2440168287975805,0.421845041724695
unetpp_resnet34_rgb_full,low_false_alarm,0.75,pred_mask_ratio_clean,0.0,morph_area_probability_clean,500,0.4,open,5,,area,0.48186412037513804,0.3174051327304172,0.25016633399866933,0.24085163007318694,0.6962025316455697,0.2625,4.69496053972935e-10,0.5179345319600797
efficientnetb0_unet_rgb_full,best_forged_dice,0.75,max_probability,0.70486328125,min_area_clean,25,0.0,none,3,,area,0.5144244838683494,0.34627959217305887,0.3022071307300509,0.27843803056027167,0.7307692307692307,0.5208333333333334,0.24749783376689957,0.49758753152361446
efficientnetb0_unet_rgb_full,best_component_f1,0.75,max_probability,0.70486328125,min_area_clean,100,0.0,none,3,,area,0.5144039653123585,0.34626099780921676,0.3169642857142857,0.29575892857142855,0.7307692307692307,0.3541666666666667,0.15983028220250708,0.5346029721084097
efficientnetb0_unet_rgb_full,balanced_final_score,0.75,max_probability,0.70486328125,morph_area_probability_clean,500,0.0,open,5,,area,0.5124048333924878,0.34445180039206247,0.27464788732394363,0.2647887323943662,0.7307692307692307,0.16666666666666666,4.752227840875221e-10,0.5608241763388695
efficientnetb0_unet_rgb_full,small_object_focused,0.65,max_probability,0.70486328125,raw,0,0.0,none,3,,area,0.5027006178767842,0.33573821232994805,0.19037199124726478,0.17286652078774617,0.7307692307692307,0.7,0.2654745811423842,0.4296920602225368
efficientnetb0_unet_rgb_full,low_false_alarm,0.65,max_probability,0.70486328125,min_area_clean,500,0.0,none,3,,area,0.5042890802661246,0.33715678184381404,0.28741721854304636,0.27019867549668874,0.7307692307692307,0.225,0.00115605768566063,0.5495093288827514
segformer_b0_rgb_full,best_forged_dice,0.75,max_probability,0.53884765625,min_area_clean,100,0.0,none,3,,area,0.5400713596938743,0.36992997108449716,0.318013734812467,0.29160063391442154,0.7326732673267327,0.4083333333333333,0.13489726272617697,0.5333963963946526
segformer_b0_rgb_full,best_component_f1,0.75,max_probability,0.53884765625,min_area_clean,100,0.0,none,3,,area,0.5400713596938743,0.36992997108449716,0.318013734812467,0.29160063391442154,0.7326732673267327,0.4083333333333333,0.13489726272617697,0.5333963963946526
segformer_b0_rgb_full,balanced_final_score,0.75,max_probability,0.53884765625,morph_area_probability_clean,500,0.0,open,5,,area,0.5398698693595259,0.3697409279012114,0.2898341744772891,0.26964671953857244,0.7326732673267327,0.19166666666666668,0.005110044656428546,0.5696143180271696
segformer_b0_rgb_full,small_object_focused,0.75,max_probability,0.53884765625,raw,0,0.0,none,3,,area,0.5394362137060206,0.36933423844143154,0.27581379068953443,0.24641232061603083,0.7326732673267327,0.5791666666666667,0.23144016406463347,0.488457442601504
segformer_b0_rgb_full,low_false_alarm,0.75,max_probability,0.53884765625,morph_area_probability_clean,500,0.0,open,5,,area,0.5398698693595259,0.3697409279012114,0.2898341744772891,0.26964671953857244,0.7326732673267327,0.19166666666666668,0.005110044656428546,0.5696143180271696
dinov2_lite_decoder_rgb_full,best_forged_dice,0.75,max_probability,0.31,min_area_clean,100,0.0,none,3,,area,0.5242954751920653,0.3552848597928527,0.3194046937607327,0.2667429879793932,0.7033248081841432,0.39166666666666666,0.09529145548359039,0.5256862180609014
dinov2_lite_decoder_rgb_full,best_component_f1,0.75,max_probability,0.31,min_area_clean,100,0.0,none,3,,area,0.5242954751920653,0.3552848597928527,0.3194046937607327,0.2667429879793932,0.7033248081841432,0.39166666666666666,0.09529145548359039,0.5256862180609014
dinov2_lite_decoder_rgb_full,balanced_final_score,0.75,max_probability,0.31,morph_area_probability_clean,500,0.0,open,5,,area,0.5217609281412109,0.35296112656874273,0.26957831325301207,0.24548192771084337,0.7033248081841432,0.175,0.005946811554311629,0.5556758647995055
dinov2_lite_decoder_rgb_full,small_object_focused,0.55,max_probability,0.31,min_area_clean,25,0.0,none,3,,area,0.4975157513259089,0.33112876342294806,0.26532807457870206,0.19433488705629257,0.7033248081841432,0.8083333333333333,0.13149995064678707,0.4194608265789056
dinov2_lite_decoder_rgb_full,low_false_alarm,0.75,max_probability,0.31,min_area_clean,500,0.0,none,3,,area,0.5220762826191172,0.3532498169420543,0.2707554225878833,0.24532535527299928,0.7033248081841432,0.17916666666666667,0.006251332194276149,0.5552471828671571
