image_id,image_path,class_name,gt_area,gt_area_ratio,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label,gt_component_count,pred_component_count,matched_component_count
63713,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/63713.png,forged,116,0.00177001953125,7984,0.121826171875,1.2345679012193262e-11,1.2345679012193262e-11,0.1390838623046875,1,3,2,0
52050,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/52050.png,forged,410,0.006256103515625,3838,0.058563232421875,2.3540489641630403e-11,2.3540489641630403e-11,0.0647430419921875,1,2,4,0
62249,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/62249.png,forged,321,0.0048980712890625,3062,0.046722412109375,2.955956251760096e-11,2.955956251760096e-11,0.0468902587890625,1,2,2,0
42832,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/42832.png,forged,495,0.0075531005859375,2263,0.0345306396484375,3.62581580842546e-11,3.62581580842546e-11,0.035614013671875,1,2,1,0
22456,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/22456.png,forged,506,0.007720947265625,1989,0.0303497314453125,4.0080160319034865e-11,4.0080160319034865e-11,0.0310211181640625,1,2,1,0
27694,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/27694.png,forged,463,0.0070648193359375,1928,0.0294189453125,4.182350480795385e-11,4.182350480795385e-11,0.030242919921875,1,2,2,0
14700,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/14700.png,forged,380,0.00579833984375,1942,0.029632568359375,4.306632213423487e-11,4.306632213423487e-11,0.0309600830078125,1,2,1,0
65532,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/65532.png,forged,62,0.000946044921875,1830,0.027923583984375,5.285412261877092e-11,5.285412261877092e-11,0.0283966064453125,1,3,1,0
12629,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/12629.png,forged,263,0.0040130615234375,1012,0.01544189453125,7.843137254286811e-11,7.843137254286811e-11,0.0156097412109375,1,2,1,0
58180,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/58180.png,forged,259,0.0039520263671875,876,0.01336669921875,8.810572686448406e-11,8.810572686448406e-11,0.0261688232421875,1,2,1,0
