bin,bin_lower,bin_upper,count,avg_confidence,empirical_accuracy
0,0.0,0.1,831,0.01435194692600218,0.48856799037304455
1,0.1,0.2,110,0.14770868474786933,0.7
2,0.2,0.30000000000000004,55,0.2472753351384943,0.8181818181818182
3,0.30000000000000004,0.4,16,0.33565521240234375,0.9375
4,0.4,0.5,6,0.4340769449869792,0.8333333333333334
5,0.5,0.6000000000000001,3,0.551849365234375,0.6666666666666666
6,0.6000000000000001,0.7000000000000001,2,0.6012725830078125,0.5
7,0.7000000000000001,0.8,0,0.0,0.0
8,0.8,0.9,0,0.0,0.0
9,0.9,1.0,0,0.0,0.0
