bin,bin_lower,bin_upper,count,avg_confidence,empirical_accuracy
0,0.0,0.1,835,0.011424227960095434,0.48862275449101794
1,0.1,0.2,109,0.14645497733299886,0.7064220183486238
2,0.2,0.30000000000000004,52,0.24593441302959734,0.8269230769230769
3,0.30000000000000004,0.4,18,0.33868408203125,0.8888888888888888
4,0.4,0.5,4,0.4440040588378906,1.0
5,0.5,0.6000000000000001,5,0.5692962646484375,0.6
6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
7,0.7000000000000001,0.8,0,0.0,0.0
8,0.8,0.9,0,0.0,0.0
9,0.9,1.0,0,0.0,0.0
