bin,bin_lower,bin_upper,count,avg_confidence,empirical_accuracy
0,0.0,0.1,0,0.0,0.0
1,0.1,0.2,3,0.18888346354166666,0.6666666666666666
2,0.2,0.30000000000000004,14,0.2523193359375,0.5
3,0.30000000000000004,0.4,6,0.3263753255208333,0.6666666666666666
4,0.4,0.5,22,0.4547674005681818,0.5
5,0.5,0.6000000000000001,15,0.5457682291666667,0.3333333333333333
6,0.6000000000000001,0.7000000000000001,82,0.653248856707317,0.24390243902439024
7,0.7000000000000001,0.8,186,0.751761487735215,0.34946236559139787
8,0.8,0.9,268,0.8557420417444029,0.48134328358208955
9,0.9,1.0,427,0.9578122712968384,0.7213114754098361
