image_id,image_path,class_name,image_label,gt_area,gt_area_ratio,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label,mask_quartile
24332,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/24332.png,forged,1,21446,0.1454399956597222,22294,0.1511908637152778,0.9574302697760461,0.9183369150479438,0.998046875,1,Q2
40373,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/40373.png,forged,1,34712,0.2354058159722222,37023,0.2510782877604167,0.9570781348017605,0.9176892025558915,0.99560546875,1,Q4
51927,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/51927.png,forged,1,8688,0.058919270833333336,9435,0.06398518880208333,0.9533741654254076,0.9109025727550516,1.0,1,Q3
54527,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/54527.png,forged,1,21550,0.1461452907986111,24032,0.16297743055555555,0.9379579658638543,0.8831646354063906,0.99951171875,1,Q4
2450,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/2450.png,forged,1,6385,0.04330105251736111,6797,0.04609510633680555,0.9362767410109523,0.8801882755686751,0.99951171875,1,Q4
1856,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/1856.png,forged,1,64216,0.4354926215277778,67416,0.4571940104166667,0.9339826182083886,0.8761420162200138,0.99267578125,1,Q4
63947,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/63947.png,forged,1,24051,0.16310628255208334,25469,0.1727227105034722,0.9252423263329458,0.8608845965959157,0.99755859375,1,Q4
8074,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/8074.png,forged,1,32990,0.2237277560763889,30767,0.2086520724826389,0.9168875574448031,0.846530352178387,0.99755859375,1,Q4
34306,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/34306.png,forged,1,14108,0.0956759982638889,16529,0.1120944552951389,0.9125567124721332,0.8391763717142564,0.9990234375,1,Q2
4222,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/4222.png,forged,1,27578,0.18702528211805555,32935,0.2233547634548611,0.911473567663293,0.8373462881438064,0.9990234375,1,Q4
23460,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/23460.png,forged,1,11314,0.07672797309027778,12001,0.0813869900173611,0.9076560154410995,0.8309250824577437,0.99609375,1,Q4
45182,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/45182.png,forged,1,4199,0.028476291232638888,4835,0.03278944227430555,0.9039185299988496,0.8246818824515314,1.0,1,Q4
