model_name,strategy,pixel_threshold,image_score_type,image_threshold,postprocess_mode,min_component_area,min_component_mean_probability,morphology,morph_kernel_size,top_k_components,top_k_sort_by,dice_all,dice_forged_only,iou_all,iou_forged_only,precision,recall,specificity,predicted_positive_pixel_ratio,gt_positive_pixel_ratio,auprc_all,roc_auc_all,auprc_forged_only,mean_dice_forged,median_dice_forged,mean_iou_forged,median_iou_forged,dice_lt_005_count,dice_lt_010_count,dice_lt_025_count,image_accuracy,image_precision,image_recall,image_sensitivity,image_specificity,image_f1,image_roc_auc,image_auprc,image_tp,image_fn,image_tn,image_fp,image_brier,image_ece_10bin,component_precision_iou010,component_recall_iou010,component_f1_iou010,component_tp_iou010,component_fp_iou010,component_fn_iou010,avg_matched_iou_iou010,avg_pred_component_count,avg_gt_component_count,component_precision_iou025,component_recall_iou025,component_f1_iou025,component_tp_iou025,component_fp_iou025,component_fn_iou025,avg_matched_iou_iou025,component_precision_iou050,component_recall_iou050,component_f1_iou050,component_tp_iou050,component_fp_iou050,component_fn_iou050,avg_matched_iou_iou050,authentic_fp_rate,authentic_mean_pred_component_count,authentic_median_pred_component_count,authentic_mean_pred_area_ratio,q1_dice,q2_dice,q3_dice,q4_dice,final_score,training_time_sec_total,inference_time_per_image_sec,experiment6_final_score
segformer_b0_rgb_384_smallmask,balanced_final_score,0.85,max_probability,0.59,morph_area_probability_clean,100,0.0,open_close,5,,area,0.5945405230894725,0.6451007321306009,0.4230221737850409,0.4761244968011811,0.5049535050015793,0.7227721312574057,0.9783279707423588,0.04247857279532557,0.02967699402458727,0.6683226649796044,0.9607606620285899,0.7171633480567254,0.43340138150315544,0.5256513999038566,0.3351191629347161,0.35653128430472963,163,166,186,0.6793743890518084,0.6348246674727932,0.9528130671506352,0.9528130671506352,0.3601694915254237,0.7619738751814223,0.8502722323049001,0.8856855442684136,525,26,170,302,0.263875896006209,0.2658664408783526,0.43417203046025904,0.44272076375640085,0.4384047908125502,742,967,934,0.2515589572948095,1.6705767350928642,1.6383186705767352,0.4125219426908998,0.4206443914426823,0.41654364465706556,705,1004,971,0.2536073091801932,0.3382094792663423,0.3448687351226212,0.3415067434116991,578,1131,1098,0.24905202086855902,0.3559322033898305,0.847457627118644,0.0,0.012257017433755592,0.27668516484781513,0.3249351935693173,0.4398551739287181,0.6921767602785507,0.4855516390810434,4730.273862123489,0.045099434614880696,0.4855516390810434
segformer_b0_rgb_384_smallmask,small_object_practical,0.85,max_probability,0.59,morph_area_probability_clean,0,0.0,open_close,5,,area,0.5941447843768319,0.6451073000710893,0.42262160269005583,0.47613165242158484,0.503784424507131,0.724004512252335,0.978189254538959,0.04264974568220851,0.02967699402458727,0.6683226649796044,0.9607606620285899,0.7171633480567254,0.4449510479080824,0.5295486874464661,0.34357279938336455,0.360126637944243,149,155,178,0.6793743890518084,0.6348246674727932,0.9528130671506352,0.9528130671506352,0.3601694915254237,0.7619738751814223,0.8502722323049001,0.8856855442684136,525,26,170,302,0.263875896006209,0.2658664408783526,0.37277829750361186,0.47553699287138795,0.41793399627989924,797,1341,879,0.25558246552929614,2.0899315738025415,1.6383186705767352,0.35126286251865,0.4480906921570351,0.3938123464485891,751,1387,925,0.25737088146534837,0.28203928908877274,0.35978520290216076,0.3162035675087337,603,1535,1073,0.25465952764896743,0.4004237288135593,1.1779661016949152,0.0,0.012383728602062735,0.2848960481240344,0.3530280583848456,0.4498556416439647,0.6920599840138029,0.48430015988527897,4730.273862123489,0.045099434614880696,0.48430015988527897
segformer_b0_rgb_384_smallmask,best_forged_dice,0.85,max_probability,0.59,morph_area_probability_clean,25,0.0,open,5,,area,0.5943786075449918,0.645287467810957,0.4228582538195985,0.47632796809538624,0.5044016135563733,0.7234259610874144,0.9782604231112016,0.04256351951979472,0.02967699402458727,0.6683226649796044,0.9607606620285899,0.7171633480567254,0.4450115588011222,0.5305831225301253,0.3436581804866877,0.36108413525769323,149,155,178,0.6793743890518084,0.6348246674727932,0.9528130671506352,0.9528130671506352,0.3601694915254237,0.7619738751814223,0.8502722323049001,0.8856855442684136,525,26,170,302,0.263875896006209,0.2658664408783526,0.3624039765312967,0.4785202864272959,0.4124454286043471,802,1411,874,0.2572832796180062,2.1632453567937437,1.6383186705767352,0.34206958882322325,0.45167064442412463,0.38930323973730574,757,1456,919,0.25942652155528356,0.2756439223101833,0.36396181388043186,0.3137054300399869,610,1603,1066,0.2565443310628072,0.4004237288135593,1.2203389830508475,0.0,0.012352492625205979,0.2849587545150604,0.35307356630951486,0.44985608383264375,0.6921929358011213,0.48354441945536997,4730.273862123489,0.045099434614880696,0.48354441945536997
efficientnetb0_unet_rgb_384_smallmask,balanced_final_score,0.85,max_probability,0.78,morph_area_probability_clean,100,0.0,open_close,5,,area,0.5395877014177947,0.5769742930841741,0.3694762786794132,0.40545598739370464,0.4933845782458147,0.5953383072352494,0.981303502991321,0.035809492565099924,0.02967699402458727,0.5923257737133307,0.9533213529865459,0.6489946087354168,0.3954197782570042,0.47973856212550725,0.29035859156537014,0.3155631986830986,165,166,191,0.7419354838709677,0.7070707070707071,0.8892921960072595,0.8892921960072595,0.5699152542372882,0.7877813504823151,0.8615652588513949,0.8889996993094246,490,61,269,203,0.24174791958295938,0.25779054404936463,0.4546084546462502,0.3914081145947847,0.4206477119926395,656,787,1020,0.25767941200804073,1.4105571847507332,1.6383186705767352,0.4338184338576702,0.3735083532593372,0.4014107827434195,626,817,1050,0.26024758588242275,0.36729036733421405,0.31622911698590517,0.3398526134552733,530,913,1146,0.24912364584454189,0.23940677966101695,0.5360169491525424,0.0,0.009196969299891125,0.2833055025462513,0.3173700881170198,0.41265720384409443,0.568471227401717,0.4806100760061851,3864.2760004997253,0.04977421210541637,0.4806100760061851
efficientnetb0_unet_rgb_384_smallmask,low_false_alarm,0.85,max_probability,0.78,morph_area_probability_clean,100,0.0,open_close,5,,area,0.5395877014177947,0.5769742930841741,0.3694762786794132,0.40545598739370464,0.4933845782458147,0.5953383072352494,0.981303502991321,0.035809492565099924,0.02967699402458727,0.5923257737133307,0.9533213529865459,0.6489946087354168,0.3954197782570042,0.47973856212550725,0.29035859156537014,0.3155631986830986,165,166,191,0.7419354838709677,0.7070707070707071,0.8892921960072595,0.8892921960072595,0.5699152542372882,0.7877813504823151,0.8615652588513949,0.8889996993094246,490,61,269,203,0.24174791958295938,0.25779054404936463,0.4546084546462502,0.3914081145947847,0.4206477119926395,656,787,1020,0.25767941200804073,1.4105571847507332,1.6383186705767352,0.4338184338576702,0.3735083532593372,0.4014107827434195,626,817,1050,0.26024758588242275,0.36729036733421405,0.31622911698590517,0.3398526134552733,530,913,1146,0.24912364584454189,0.23940677966101695,0.5360169491525424,0.0,0.009196969299891125,0.2833055025462513,0.3173700881170198,0.41265720384409443,0.568471227401717,0.4806100760061851,3864.2760004997253,0.04977421210541637,0.4806100760061851
efficientnetb0_unet_rgb_384_smallmask,best_forged_dice,0.85,max_probability,0.78,morph_area_probability_clean,0,0.0,open_close,5,,area,0.5394551223306369,0.5770501002497886,0.36935196622747307,0.4055308625771661,0.4924912747804999,0.5963200571849891,0.9812056214386166,0.03593360467494162,0.02967699402458727,0.5923257737133307,0.9533213529865459,0.6489946087354168,0.40474598990261673,0.4856396867176475,0.29669796804802256,0.32068965523097503,155,156,178,0.7419354838709677,0.7070707070707071,0.8892921960072595,0.8892921960072595,0.5699152542372882,0.7877813504823151,0.8615652588513949,0.8889996993094246,490,61,269,203,0.24174791958295938,0.25779054404936463,0.3888888889231824,0.41348448690850326,0.40080979131107525,693,1089,983,0.26149799547975405,1.7419354838709677,1.6383186705767352,0.3686868687222959,0.3920047733059663,0.3799885141621546,657,1125,1019,0.26493989740036805,0.30583613920842667,0.3251789976536289,0.3152112132461636,545,1237,1131,0.25323513108653095,0.2796610169491525,0.701271186440678,0.0,0.009264541884600106,0.28509056762190277,0.34417968058150417,0.42158209535824914,0.5682536168129821,0.47809562110512605,3864.2760004997253,0.04977421210541637,0.47809562110512605
efficientnetb0_unet_rgb_384_smallmask,small_object_practical,0.85,max_probability,0.78,morph_area_probability_clean,25,0.0,close,5,,area,0.5375555850560705,0.5756934170948325,0.36757334471183095,0.4041920637062516,0.484135578100925,0.6042265508075234,0.9803088099792152,0.03703844243001249,0.02967699402458727,0.5923257737133307,0.9533213529865459,0.6489946087354168,0.4085477882209343,0.48802356191652196,0.2992195569687881,0.3227719358754602,147,154,175,0.7419354838709677,0.7070707070707071,0.8892921960072595,0.8892921960072595,0.5699152542372882,0.7877813504823151,0.8615652588513949,0.8889996993094246,490,61,269,203,0.24174791958295938,0.25779054404936463,0.37389033945828243,0.4272076372656797,0.3987747896478205,716,1199,960,0.26310320381025376,1.8719452590420331,1.6383186705767352,0.35039164494253827,0.4003579952625084,0.3737121413791314,671,1244,1005,0.2674551836376704,0.2934725848932912,0.3353221957437158,0.3130048433514895,562,1353,1114,0.2569141220535662,0.3008474576271186,0.8029661016949152,0.0,0.009579099953286842,0.288480909291491,0.35330733688794547,0.4261233012006691,0.5664069642933399,0.47754928986246536,3864.2760004997253,0.04977421210541637,0.47754928986246536
efficientnetb0_unet_rgb_384_smallmask,best_small_mask_q1_dice,0.75,max_probability,0.78,morph_area_probability_clean,0,0.0,close,3,,area,0.508309104488511,0.5569288283559217,0.340760345201558,0.38593302901437854,0.3951128534941396,0.7124073536310294,0.9666431392034318,0.05350903821480939,0.02967699402458727,0.5923257737133307,0.9533213529865459,0.6489946087354168,0.41538770929011076,0.4724602203828078,0.3024749447261088,0.3092948719055617,130,140,162,0.7419354838709677,0.7070707070707071,0.8892921960072595,0.8892921960072595,0.5699152542372882,0.7877813504823151,0.8615652588513949,0.8889996993094246,490,61,269,203,0.24174791958295938,0.25779054404936463,0.18658280924326617,0.4779236277161143,0.2683867745561588,801,3492,875,0.2651017023435572,4.196480938416422,1.6383186705767352,0.17353831821165763,0.4445107398899456,0.2496231738732973,745,3548,931,0.26821679209518917,0.1439552760506882,0.3687350835698845,0.2070700156354004,618,3675,1058,0.25926326313345854,0.4724576271186441,2.2266949152542375,0.0,0.015739713909486818,0.29992381878676694,0.36230581187808997,0.42900743666447305,0.570412463507739,0.44034942208717665,3864.2760004997253,0.04977421210541637,0.44034942208717665
segformer_b0_rgb_384_smallmask,low_false_alarm,0.75,max_probability,0.59,morph_area_probability_clean,500,0.0,open,5,,area,0.5552344406223746,0.61803065374559,0.38430763871583634,0.4472101030465406,0.43673349510294107,0.7619882949494101,0.9699427456795546,0.051778767439600984,0.02967699402458727,0.6683226649796044,0.9607606620285899,0.7171633480567254,0.3622659719900789,0.3899178783472752,0.28213226113647616,0.24217266504914514,228,229,247,0.6793743890518084,0.6348246674727932,0.9528130671506352,0.9528130671506352,0.3601694915254237,0.7619738751814223,0.8502722323049001,0.8856855442684136,525,26,170,302,0.263875896006209,0.2658664408783526,0.4383259912306662,0.35620525063507125,0.3930218012534226,597,765,1079,0.20498621209887816,1.3313782991202345,1.6383186705767352,0.41556534512367355,0.33770883058844214,0.3726136448828713,566,796,1110,0.20471180972329722,0.33333333338228094,0.2708830549361048,0.2988809587435411,454,908,1222,0.19755141017063313,0.2902542372881356,0.652542372881356,0.0,0.017938200812330805,0.13018088218699722,0.2678243324063895,0.36924925909340917,0.6818600178032541,0.43335176782144735,4730.273862123489,0.045099434614880696,0.43335176782144735
segformer_b0_rgb_384_smallmask,best_small_mask_q1_dice,0.55,max_probability,0.59,morph_area_probability_clean,0,0.0,open,5,,area,0.4716930163677612,0.5597159457714687,0.30863761104246223,0.3886149708650893,0.32872757969825817,0.8347153036835206,0.947867972125695,0.075356747074237,0.02967699402458727,0.6683226649796044,0.9607606620285899,0.7171633480567254,0.4427865381537903,0.48622167792490983,0.33077502880373516,0.3211974110581555,102,111,152,0.6793743890518084,0.6348246674727932,0.9528130671506352,0.9528130671506352,0.3601694915254237,0.7619738751814223,0.8502722323049001,0.8856855442684136,525,26,170,302,0.263875896006209,0.2658664408783526,0.22797168661879494,0.5572792363032649,0.3235753503253928,934,3163,742,0.26450314891320387,4.004887585532747,1.6383186705767352,0.2101537710712679,0.5137231503870093,0.29828521735073404,861,3236,815,0.26594187275725956,0.1652428606501039,0.40393794752959794,0.23454023497867815,677,3420,999,0.25579553528984117,0.6313559322033898,2.968220338983051,2.0,0.03580062492643597,0.306554456860081,0.35307440985437843,0.4405103667874911,0.6709904251178028,0.43112685898265635,4730.273862123489,0.045099434614880696,0.43112685898265635
