experiment6_model,experiment6_strategy,experiment5_model,experiment5_strategy,exp6_forged_dice,exp5_forged_dice,delta_forged_dice,exp6_forged_iou,exp5_forged_iou,delta_forged_iou,exp6_Q1 Dice,exp5_Q1 Dice,delta_Q1 Dice,exp6_Q2 Dice,exp5_Q2 Dice,delta_Q2 Dice,exp6_Q3 Dice,exp5_Q3 Dice,delta_Q3 Dice,exp6_Q4 Dice,exp5_Q4 Dice,delta_Q4 Dice,exp6_component F1 @0.10,exp5_component F1 @0.10,delta_component F1 @0.10,exp6_authentic FP rate,exp5_authentic FP rate,delta_authentic FP rate,exp6_image F1,exp5_image F1,delta_image F1,exp6_training time,exp5_training time,delta_training time,exp6_inference time per image,exp5_inference time per image,delta_inference time per image,success_criteria_met,success,criteria_json
efficientnetb0_unet_rgb_384_smallmask,best_forged_dice,efficientnetb0_unet_rgb_full,best_forged_dice,0.5770501002497886,0.5214642865452059,0.05558581370458271,0.4055308625771661,0.3526896792548458,0.052841183322320295,0.28509056762190277,,,0.34417968058150417,,,0.42158209535824914,,,0.5682536168129821,,,0.40080979131107525,0.3225664689079323,0.07824332240314297,0.2796610169491525,0.5190677966101694,-0.23940677966101692,0.7877813504823151,0.740029542097489,0.04775180838482618,3864.2760004997253,,,0.04977421210541637,,,3,True,"{""Q1 Dice artisi"": false, ""Q2 Dice artisi"": false, ""Dice <0.05 azalmasi"": false, ""Forged Dice ciddi dusmedi"": true, ""Authentic FP kabul edilebilir"": true, ""Component F1 dusmedi"": true}"
efficientnetb0_unet_rgb_384_smallmask,best_small_mask_q1_dice,efficientnetb0_unet_rgb_full,balanced_final_score,0.5569288283559217,0.5198818758696719,0.037046952486249785,0.38593302901437854,0.3512435037407156,0.034689525273662924,0.29992381878676694,,,0.36230581187808997,,,0.42900743666447305,,,0.570412463507739,,,0.2683867745561588,0.3251470079557246,-0.05676023339956582,0.4724576271186441,0.1991525423728813,0.27330508474576276,0.7877813504823151,0.740029542097489,0.04775180838482618,3864.2760004997253,,,0.04977421210541637,,,1,False,"{""Q1 Dice artisi"": false, ""Q2 Dice artisi"": false, ""Dice <0.05 azalmasi"": false, ""Forged Dice ciddi dusmedi"": true, ""Authentic FP kabul edilebilir"": false, ""Component F1 dusmedi"": false}"
efficientnetb0_unet_rgb_384_smallmask,balanced_final_score,efficientnetb0_unet_rgb_full,balanced_final_score,0.5769742930841741,0.5198818758696719,0.0570924172145022,0.40545598739370464,0.3512435037407156,0.05421248365298903,0.2833055025462513,,,0.3173700881170198,,,0.41265720384409443,,,0.568471227401717,,,0.4206477119926395,0.3251470079557246,0.09550070403691491,0.23940677966101695,0.1991525423728813,0.04025423728813565,0.7877813504823151,0.740029542097489,0.04775180838482618,3864.2760004997253,,,0.04977421210541637,,,3,True,"{""Q1 Dice artisi"": false, ""Q2 Dice artisi"": false, ""Dice <0.05 azalmasi"": false, ""Forged Dice ciddi dusmedi"": true, ""Authentic FP kabul edilebilir"": true, ""Component F1 dusmedi"": true}"
efficientnetb0_unet_rgb_384_smallmask,low_false_alarm,efficientnetb0_unet_rgb_full,low_false_alarm,0.5769742930841741,0.5064746044429308,0.07049968864124334,0.40545598739370464,0.3391134867539504,0.06634250063975422,0.2833055025462513,,,0.3173700881170198,,,0.41265720384409443,,,0.568471227401717,,,0.4206477119926395,0.3200522534291313,0.10059545856350821,0.23940677966101695,0.2542372881355932,-0.01483050847457626,0.7877813504823151,0.740029542097489,0.04775180838482618,3864.2760004997253,,,0.04977421210541637,,,3,True,"{""Q1 Dice artisi"": false, ""Q2 Dice artisi"": false, ""Dice <0.05 azalmasi"": false, ""Forged Dice ciddi dusmedi"": true, ""Authentic FP kabul edilebilir"": true, ""Component F1 dusmedi"": true}"
efficientnetb0_unet_rgb_384_smallmask,small_object_practical,efficientnetb0_unet_rgb_full,balanced_final_score,0.5756934170948325,0.5198818758696719,0.05581154122516052,0.4041920637062516,0.3512435037407156,0.05294855996553599,0.288480909291491,,,0.35330733688794547,,,0.4261233012006691,,,0.5664069642933399,,,0.3987747896478205,0.3251470079557246,0.07362778169209588,0.3008474576271186,0.1991525423728813,0.10169491525423732,0.7877813504823151,0.740029542097489,0.04775180838482618,3864.2760004997253,,,0.04977421210541637,,,3,True,"{""Q1 Dice artisi"": false, ""Q2 Dice artisi"": false, ""Dice <0.05 azalmasi"": false, ""Forged Dice ciddi dusmedi"": true, ""Authentic FP kabul edilebilir"": true, ""Component F1 dusmedi"": true}"
segformer_b0_rgb_384_smallmask,best_forged_dice,segformer_b0_rgb_full,best_forged_dice,0.645287467810957,0.558605794031132,0.08668167377982505,0.47632796809538624,0.3875454693226351,0.08878249877275113,0.2849587545150604,,,0.35307356630951486,,,0.44985608383264375,,,0.6921929358011213,,,0.4124454286043471,0.3452733638567196,0.06717206474762749,0.4004237288135593,0.4300847457627119,-0.029661016949152574,0.7619738751814223,0.7292110874200426,0.03276278776137975,4730.273862123489,,,0.045099434614880696,,,2,True,"{""Q1 Dice artisi"": false, ""Q2 Dice artisi"": false, ""Dice <0.05 azalmasi"": false, ""Forged Dice ciddi dusmedi"": true, ""Authentic FP kabul edilebilir"": false, ""Component F1 dusmedi"": true}"
segformer_b0_rgb_384_smallmask,best_small_mask_q1_dice,segformer_b0_rgb_full,balanced_final_score,0.5597159457714687,0.5572968914104983,0.0024190543609703408,0.3886149708650893,0.386286608861164,0.0023283620039252773,0.306554456860081,,,0.35307440985437843,,,0.4405103667874911,,,0.6709904251178028,,,0.3235753503253928,0.3262666187567373,-0.0026912684313444846,0.6313559322033898,0.2436440677966101,0.38771186440677974,0.7619738751814223,0.7292110874200426,0.03276278776137975,4730.273862123489,,,0.045099434614880696,,,2,True,"{""Q1 Dice artisi"": false, ""Q2 Dice artisi"": false, ""Dice <0.05 azalmasi"": false, ""Forged Dice ciddi dusmedi"": true, ""Authentic FP kabul edilebilir"": false, ""Component F1 dusmedi"": true}"
segformer_b0_rgb_384_smallmask,balanced_final_score,segformer_b0_rgb_full,balanced_final_score,0.6451007321306009,0.5572968914104983,0.08780384072010261,0.4761244968011811,0.386286608861164,0.08983788794001707,0.27668516484781513,,,0.3249351935693173,,,0.4398551739287181,,,0.6921767602785507,,,0.4384047908125502,0.3262666187567373,0.11213817205581289,0.3559322033898305,0.2436440677966101,0.1122881355932204,0.7619738751814223,0.7292110874200426,0.03276278776137975,4730.273862123489,,,0.045099434614880696,,,2,True,"{""Q1 Dice artisi"": false, ""Q2 Dice artisi"": false, ""Dice <0.05 azalmasi"": false, ""Forged Dice ciddi dusmedi"": true, ""Authentic FP kabul edilebilir"": false, ""Component F1 dusmedi"": true}"
segformer_b0_rgb_384_smallmask,low_false_alarm,segformer_b0_rgb_full,low_false_alarm,0.61803065374559,0.5572968914104983,0.060733762335091646,0.4472101030465406,0.386286608861164,0.06092349418537657,0.13018088218699722,,,0.2678243324063895,,,0.36924925909340917,,,0.6818600178032541,,,0.3930218012534226,0.3262666187567373,0.06675518249668533,0.2902542372881356,0.2436440677966101,0.046610169491525494,0.7619738751814223,0.7292110874200426,0.03276278776137975,4730.273862123489,,,0.045099434614880696,,,3,True,"{""Q1 Dice artisi"": false, ""Q2 Dice artisi"": false, ""Dice <0.05 azalmasi"": false, ""Forged Dice ciddi dusmedi"": true, ""Authentic FP kabul edilebilir"": true, ""Component F1 dusmedi"": true}"
segformer_b0_rgb_384_smallmask,small_object_practical,segformer_b0_rgb_full,balanced_final_score,0.6451073000710893,0.5572968914104983,0.08781040866059098,0.47613165242158484,0.386286608861164,0.08984504356042083,0.2848960481240344,,,0.3530280583848456,,,0.4498556416439647,,,0.6920599840138029,,,0.41793399627989924,0.3262666187567373,0.09166737752316195,0.4004237288135593,0.2436440677966101,0.1567796610169492,0.7619738751814223,0.7292110874200426,0.03276278776137975,4730.273862123489,,,0.045099434614880696,,,2,True,"{""Q1 Dice artisi"": false, ""Q2 Dice artisi"": false, ""Dice <0.05 azalmasi"": false, ""Forged Dice ciddi dusmedi"": true, ""Authentic FP kabul edilebilir"": false, ""Component F1 dusmedi"": true}"
