epoch,train_loss,val_loss,val_forged_dice_t050,val_q1_dice_t050,val_q2_dice_t050,val_smallmask_score_t050,lr,grad_accumulation_steps,batch_size,pos_weight,training_time_sec_total
1,0.8277194290888602,0.746726256932399,0.25620977388421623,0.14661519995969227,0.15386307714101152,0.2028620623582181,0.0001,2,4,20.0,4730.273862123489
2,0.7692994730244235,0.7318938753401586,0.2898147377822443,0.1663469446620761,0.20144520192223161,0.23510049267419134,0.0001,2,4,20.0,4730.273862123489
3,0.7448600275081091,0.7071327435415845,0.30276306412959336,0.17983972462516556,0.2101835651212468,0.2473701624765957,0.0001,2,4,20.0,4730.273862123489
4,0.7261831514819428,0.7067134193209714,0.30118553521484565,0.17214451793621144,0.23041829044738354,0.24831978107776295,0.0001,2,4,20.0,4730.273862123489
5,0.7239613182892513,0.6686066633971163,0.3243209951426999,0.219139044605842,0.24905022854680994,0.2777122566624645,0.0001,2,4,20.0,4730.273862123489
6,0.7092574096734912,0.6794498456540958,0.31349765102856586,0.21077587346811355,0.23499035947752211,0.2669796594502214,0.0001,2,4,20.0,4730.273862123489
7,0.7240061838934841,0.6575734511364338,0.32112015087376905,0.20255083014761432,0.25244560792747694,0.2718144460666642,0.0001,2,4,20.0,4730.273862123489
8,0.6991674539307443,0.6778678875560908,0.31843342327529867,0.21393802524370537,0.24255736876928902,0.27190959296461875,0.0001,2,4,20.0,4730.273862123489
9,0.6931136632815236,0.6583182527575382,0.3172963519046257,0.19451882983806418,0.25261745032967475,0.2675273149696671,5e-05,2,4,20.0,4730.273862123489
10,0.6727045407074862,0.6494293813557588,0.3220611507837068,0.19941926055761405,0.26166715227280835,0.27318978401369926,5e-05,2,4,20.0,4730.273862123489
11,0.6682099145743788,0.6416597299335539,0.33177717741765583,0.21174928019600422,0.2627862893766007,0.28197063064294936,5e-05,2,4,20.0,4730.273862123489
12,0.6558779687154,0.6424415746862574,0.3469115630809703,0.23925519870654322,0.2774580972953766,0.30072396061152346,5e-05,2,4,20.0,4730.273862123489
13,0.6488893942073618,0.6344632862150207,0.3524845177709354,0.24651224871386032,0.2950323954421293,0.3092024125880517,5e-05,2,4,20.0,4730.273862123489
14,0.6409997866719231,0.6326602602651877,0.35255058679740947,0.2199356043036097,0.3003357260128723,0.3023231198923621,5e-05,2,4,20.0,4730.273862123489
15,0.6616642064599524,0.6319192172020904,0.3457501246297398,0.22991321410591628,0.2765801036867708,0.29716504728399895,5e-05,2,4,20.0,4730.273862123489
16,0.6407858308877605,0.6197270884994388,0.3729243349155203,0.26505967073069614,0.31858647132063295,0.3296973629410956,5e-05,2,4,20.0,4730.273862123489
17,0.6313822205387936,0.6330629164396331,0.3697159199949642,0.2580830287939426,0.29265570780023525,0.320814010195712,5e-05,2,4,20.0,4730.273862123489
18,0.6247436559213562,0.623242063577785,0.3778237168575371,0.25050017976188754,0.30921740259738245,0.3259053928768113,5e-05,2,4,20.0,4730.273862123489
