model_name,output_path,n_requested,n_drawn
efficientnetb0_unet_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/efficientnetb0_unet_rgb_384_smallmask/prediction_examples_best_strategy.png,12,12
efficientnetb0_unet_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/efficientnetb0_unet_rgb_384_smallmask/q1_best_cases.png,8,8
efficientnetb0_unet_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/efficientnetb0_unet_rgb_384_smallmask/q1_worst_cases.png,8,8
efficientnetb0_unet_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/efficientnetb0_unet_rgb_384_smallmask/q1_false_negative_cases.png,8,8
efficientnetb0_unet_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/efficientnetb0_unet_rgb_384_smallmask/failure_cases/best_cases_forged.png,8,8
efficientnetb0_unet_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/efficientnetb0_unet_rgb_384_smallmask/failure_cases/low_dice_forged.png,8,8
efficientnetb0_unet_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/efficientnetb0_unet_rgb_384_smallmask/failure_cases/false_positive_authentic.png,8,8
efficientnetb0_unet_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/efficientnetb0_unet_rgb_384_smallmask/failure_cases/false_negative_forged.png,8,8
efficientnetb0_unet_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/efficientnetb0_unet_rgb_384_smallmask/failure_cases/small_mask_failures.png,8,8
efficientnetb0_unet_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/efficientnetb0_unet_rgb_384_smallmask/failure_cases/large_mask_failures.png,8,8
segformer_b0_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/segformer_b0_rgb_384_smallmask/prediction_examples_best_strategy.png,12,12
segformer_b0_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/segformer_b0_rgb_384_smallmask/q1_best_cases.png,8,8
segformer_b0_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/segformer_b0_rgb_384_smallmask/q1_worst_cases.png,8,8
segformer_b0_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/segformer_b0_rgb_384_smallmask/q1_false_negative_cases.png,8,8
segformer_b0_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/segformer_b0_rgb_384_smallmask/failure_cases/best_cases_forged.png,8,8
segformer_b0_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/segformer_b0_rgb_384_smallmask/failure_cases/low_dice_forged.png,8,8
segformer_b0_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/segformer_b0_rgb_384_smallmask/failure_cases/false_positive_authentic.png,8,8
segformer_b0_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/segformer_b0_rgb_384_smallmask/failure_cases/false_negative_forged.png,8,8
segformer_b0_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/segformer_b0_rgb_384_smallmask/failure_cases/small_mask_failures.png,8,8
segformer_b0_rgb_384_smallmask,/kaggle/working/experiments_full/experiment6_smallmask_384/segformer_b0_rgb_384_smallmask/failure_cases/large_mask_failures.png,8,8
