comparison,metric,subset,n,mean_diff,ci_low,ci_high
segformer_b0_rgb_384_smallmask vs efficientnetb0_unet_rgb_384_smallmask,dice,forged,551,0.037981603246151255,0.02197870552780538,0.05482630222475848
segformer_b0_rgb_384_smallmask vs efficientnetb0_unet_rgb_384_smallmask,iou,forged,551,0.044760571369346,0.03024551901753842,0.059603200956056965
segformer_b0_rgb_384_smallmask vs efficientnetb0_unet_rgb_384_smallmask,dice,Q1,138,-0.006620337698436102,-0.035350553466520274,0.020852175863695473
segformer_b0_rgb_384_smallmask vs efficientnetb0_unet_rgb_384_smallmask,dice,Q2,138,0.007565105452297479,-0.021823668215527187,0.036421422455564824
segformer_b0_rgb_384_smallmask vs segformer_b0_rgb_full,dice,forged,551,0.15330347669677544,0.13424045043932417,0.1733889852896997
segformer_b0_rgb_384_smallmask vs segformer_b0_rgb_full,iou,forged,551,0.1231930632775041,0.10805811212102227,0.1386128708148962
segformer_b0_rgb_384_smallmask vs segformer_b0_rgb_full,dice,Q1,138,0.24435757618917323,0.1947678806195325,0.2934809298399935
segformer_b0_rgb_384_smallmask vs segformer_b0_rgb_full,dice,Q2,138,0.11966382827000978,0.08494956430457629,0.1555940083710808
efficientnetb0_unet_rgb_384_smallmask vs efficientnetb0_unet_rgb_full,dice,forged,551,0.12711183776089158,0.10661970551081487,0.14735638681792942
efficientnetb0_unet_rgb_384_smallmask vs efficientnetb0_unet_rgb_full,iou,forged,551,0.09575107954614483,0.08011124868546002,0.11134350030235708
efficientnetb0_unet_rgb_384_smallmask vs efficientnetb0_unet_rgb_full,dice,Q1,138,0.21467056814825045,0.1652327528901304,0.2636765776078128
efficientnetb0_unet_rgb_384_smallmask vs efficientnetb0_unet_rgb_full,dice,Q2,138,0.10532719583830946,0.06964565698069386,0.142157432025898
segformer_b0_rgb_384_smallmask vs unetpp_resnet34_rgb_full,dice,forged,551,0.10658642503889221,0.0889825413748761,0.12520318994793925
segformer_b0_rgb_384_smallmask vs unetpp_resnet34_rgb_full,iou,forged,551,0.10086979858205225,0.08542093821091382,0.11674497294865882
segformer_b0_rgb_384_smallmask vs unetpp_resnet34_rgb_full,dice,Q1,138,0.1131599277233957,0.0753138686277482,0.15198554845887977
segformer_b0_rgb_384_smallmask vs unetpp_resnet34_rgb_full,dice,Q2,138,0.05693967286568888,0.0219633531763522,0.09240640305000672
efficientnetb0_unet_rgb_384_smallmask vs unetpp_resnet34_rgb_full,dice,forged,551,0.06860482179274095,0.05005210028814832,0.08739642801842194
efficientnetb0_unet_rgb_384_smallmask vs unetpp_resnet34_rgb_full,iou,forged,551,0.05610922721270626,0.04059513637595003,0.07117112621991875
efficientnetb0_unet_rgb_384_smallmask vs unetpp_resnet34_rgb_full,dice,Q1,138,0.11978026542183182,0.08086630002198512,0.15834649651169655
efficientnetb0_unet_rgb_384_smallmask vs unetpp_resnet34_rgb_full,dice,Q2,138,0.04937456741339141,0.015788806836102953,0.08337524993707493
