image_id,image_path,class_name,gt_area,gt_area_ratio,mask_quartile,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label,gt_component_count,pred_component_count,matched_component_count,failure_group,model_name
58338,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/58338.png,authentic,0,0.0,,24709,0.1675686306423611,4.047108341073911e-12,4.047108341073911e-12,0.99951171875,1,0,3,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
43810,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/43810.png,authentic,0,0.0,,760,0.005154079861111111,1.3157894735110802e-10,1.3157894735110802e-10,0.9990234375,1,0,4,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
58081,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/58081.png,authentic,0,0.0,,13573,0.09204779730902778,7.367567965760202e-12,7.367567965760202e-12,0.99853515625,1,0,3,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
26492,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/26492.png,authentic,0,0.0,,15879,0.10768636067708333,6.297625795035596e-12,6.297625795035596e-12,0.99853515625,1,0,2,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
28928,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/28928.png,authentic,0,0.0,,161,0.0010918511284722222,6.211180120365727e-10,6.211180120365727e-10,0.998046875,1,0,1,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
43368,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/43368.png,authentic,0,0.0,,1378,0.009345160590277778,7.256894048820254e-11,7.256894048820254e-11,0.99658203125,1,0,2,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
35127,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/35127.png,authentic,0,0.0,,34754,0.2356906467013889,2.8773666340482322e-12,2.8773666340482322e-12,0.99658203125,1,0,3,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
52927,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/52927.png,authentic,0,0.0,,12166,0.08250596788194445,8.219628472725466e-12,8.219628472725466e-12,0.99609375,1,0,3,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
46907,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/46907.png,authentic,0,0.0,,13591,0.09216986762152778,7.357810315595924e-12,7.357810315595924e-12,0.99609375,1,0,2,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
40728,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/40728.png,authentic,0,0.0,,102,0.0006917317708333334,9.803921559015764e-10,9.803921559015764e-10,0.99560546875,1,0,1,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
6419,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/6419.png,authentic,0,0.0,,19864,0.1347113715277778,5.0342327828985385e-12,5.0342327828985385e-12,0.99560546875,1,0,3,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
50069,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/50069.png,authentic,0,0.0,,318,0.0021565755208333335,3.1446540870614293e-10,3.1446540870614293e-10,0.9951171875,1,0,2,0,false_positive_authentic,efficientnetb0_unet_rgb_384_smallmask
