image_id,image_path,class_name,gt_area,gt_area_ratio,mask_quartile,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label,gt_component_count,pred_component_count,matched_component_count,failure_group,model_name
40373,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/40373.png,forged,34712,0.2354058159722222,Q4,37023,0.2510782877604167,0.9570781348017605,0.9176892025558915,0.99560546875,1,2,2,2,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
54527,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/54527.png,forged,21550,0.1461452907986111,Q4,24032,0.16297743055555555,0.9379579658638543,0.8831646354063906,0.99951171875,1,1,1,1,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
2450,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/2450.png,forged,6385,0.04330105251736111,Q4,6797,0.04609510633680555,0.9362767410109523,0.8801882755686751,0.99951171875,1,4,4,4,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
1856,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/1856.png,forged,64216,0.4354926215277778,Q4,67416,0.4571940104166667,0.9339826182083886,0.8761420162200138,0.99267578125,1,2,1,1,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
63947,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/63947.png,forged,24051,0.16310628255208334,Q4,25469,0.1727227105034722,0.9252423263329458,0.8608845965959157,0.99755859375,1,3,5,3,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
8074,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/8074.png,forged,32990,0.2237277560763889,Q4,30767,0.2086520724826389,0.9168875574448031,0.846530352178387,0.99755859375,1,2,3,2,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
4222,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/4222.png,forged,27578,0.18702528211805555,Q4,32935,0.2233547634548611,0.911473567663293,0.8373462881438064,0.9990234375,1,1,1,1,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
23460,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/23460.png,forged,11314,0.07672797309027778,Q4,12001,0.0813869900173611,0.9076560154410995,0.8309250824577437,0.99609375,1,3,3,3,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
45182,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/45182.png,forged,4199,0.028476291232638888,Q4,4835,0.03278944227430555,0.9039185299988496,0.8246818824515314,1.0,1,2,2,2,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
339,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/339.png,forged,46101,0.3126424153645833,Q4,43684,0.2962510850694444,0.9013977835942514,0.8204951438597285,0.99755859375,1,2,3,2,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
17493,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/17493.png,forged,25492,0.1728786892361111,Q4,30886,0.20945909288194445,0.897903437511267,0.8147230179939655,0.9951171875,1,2,2,2,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
40919,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/40919.png,forged,12041,0.08165825737847222,Q4,13680,0.0927734375,0.893666653707501,0.8077734045557509,1.0,1,2,3,2,large_mask_success,efficientnetb0_unet_rgb_384_smallmask
