bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,68,0.14730475930606618,0.029411764705882353,0.11789299460018382
2,0.2,0.30000000000000004,35,0.2520682198660714,0.05714285714285714,0.19492536272321428
3,0.30000000000000004,0.4,28,0.3442905970982143,0.10714285714285714,0.23714773995535715
4,0.4,0.5,36,0.4484931098090278,0.2222222222222222,0.22627088758680558
5,0.5,0.6000000000000001,32,0.5586700439453125,0.21875,0.3399200439453125
6,0.6000000000000001,0.7000000000000001,65,0.651044170673077,0.27692307692307694,0.37412109375
7,0.7000000000000001,0.8,95,0.7583932976973684,0.35789473684210527,0.40049856085526314
8,0.8,0.9,107,0.8543096524532711,0.38317757009345793,0.47113208235981313
9,0.9,1.0,557,0.9810429406979354,0.7827648114901257,0.19827812920780974
