bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,54,0.1487754539207176,0.018518518518518517,0.13025693540219907
2,0.2,0.30000000000000004,34,0.2550048828125,0.058823529411764705,0.19618135340073528
3,0.30000000000000004,0.4,47,0.3472043301196808,0.14893617021276595,0.19826815990691488
4,0.4,0.5,42,0.44846307663690477,0.2619047619047619,0.18655831473214285
5,0.5,0.6000000000000001,47,0.5548952792553191,0.19148936170212766,0.36340591755319146
6,0.6000000000000001,0.7000000000000001,69,0.6478784533514492,0.36231884057971014,0.2855596127717391
7,0.7000000000000001,0.8,95,0.7541735197368421,0.4421052631578947,0.3120682565789474
8,0.8,0.9,123,0.8536783854166666,0.45528455284552843,0.3983938325711382
9,0.9,1.0,512,0.9786367416381836,0.77734375,0.2012929916381836
