bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,64,0.14391040802001953,0.015625,0.12828540802001953
2,0.2,0.30000000000000004,36,0.2540011935763889,0.05555555555555555,0.19844563802083334
3,0.30000000000000004,0.4,33,0.34086470170454547,0.09090909090909091,0.24995561079545456
4,0.4,0.5,35,0.4507045200892857,0.34285714285714286,0.10784737723214283
5,0.5,0.6000000000000001,55,0.5505149147727273,0.18181818181818182,0.36869673295454547
6,0.6000000000000001,0.7000000000000001,61,0.6555616034836066,0.32786885245901637,0.3276927510245902
7,0.7000000000000001,0.8,88,0.7558427290482954,0.32954545454545453,0.4262972745028409
8,0.8,0.9,119,0.8511973148634454,0.42016806722689076,0.43102924763655465
9,0.9,1.0,532,0.9806513965578008,0.7969924812030075,0.18365891535479328
