bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,64,0.14661121368408203,0.015625,0.13098621368408203
2,0.2,0.30000000000000004,36,0.2601386176215278,0.0,0.2601386176215278
3,0.30000000000000004,0.4,46,0.3424072265625,0.17391304347826086,0.16849418308423914
4,0.4,0.5,46,0.44319484544836957,0.2826086956521739,0.16058614979619568
5,0.5,0.6000000000000001,56,0.5464041573660714,0.30357142857142855,0.24283272879464285
6,0.6000000000000001,0.7000000000000001,61,0.6544409579918032,0.3114754098360656,0.34296554815573765
7,0.7000000000000001,0.8,76,0.754651521381579,0.3815789473684211,0.3730725740131579
8,0.8,0.9,129,0.851573855377907,0.4186046511627907,0.43296920421511625
9,0.9,1.0,509,0.9802001473477406,0.8055009823182712,0.17469916502946947
