bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,48,0.15002950032552084,0.020833333333333332,0.1291961669921875
2,0.2,0.30000000000000004,23,0.24518087635869565,0.043478260869565216,0.20170261548913043
3,0.30000000000000004,0.4,25,0.3473046875,0.28,0.06730468749999996
4,0.4,0.5,29,0.45489291487068967,0.13793103448275862,0.31696188038793105
5,0.5,0.6000000000000001,48,0.5514119466145834,0.2708333333333333,0.28057861328125006
6,0.6000000000000001,0.7000000000000001,61,0.6609086834016393,0.22950819672131148,0.4314004866803278
7,0.7000000000000001,0.8,79,0.7499567345727848,0.3924050632911392,0.35755167128164556
8,0.8,0.9,135,0.8520616319444444,0.4666666666666667,0.3853949652777777
9,0.9,1.0,575,0.9775467051630434,0.7252173913043478,0.2523293138586956
