bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,45,0.15372178819444443,0.0,0.15372178819444443
2,0.2,0.30000000000000004,15,0.24169108072916667,0.13333333333333333,0.10835774739583334
3,0.30000000000000004,0.4,19,0.34989206414473684,0.3157894736842105,0.03410259046052633
4,0.4,0.5,19,0.4492315995065789,0.3684210526315789,0.080810546875
5,0.5,0.6000000000000001,38,0.5520533511513158,0.2631578947368421,0.28889545641447373
6,0.6000000000000001,0.7000000000000001,50,0.645908203125,0.24,0.405908203125
7,0.7000000000000001,0.8,103,0.7572294068567961,0.4368932038834951,0.32033620297330095
8,0.8,0.9,157,0.8597793093152867,0.47770700636942676,0.3820723029458599
9,0.9,1.0,577,0.973331550584922,0.682842287694974,0.29048926288994803
