bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,0,,,
1,0.1,0.2,47,0.1456039104055851,0.02127659574468085,0.12432731466090424
2,0.2,0.30000000000000004,26,0.25478891225961536,0.038461538461538464,0.2163273737980769
3,0.30000000000000004,0.4,29,0.35499730603448276,0.1724137931034483,0.18258351293103448
4,0.4,0.5,39,0.45026417267628205,0.2564102564102564,0.19385391626602566
5,0.5,0.6000000000000001,54,0.5547688802083334,0.2777777777777778,0.2769911024305556
6,0.6000000000000001,0.7000000000000001,66,0.6524769176136364,0.3787878787878788,0.27368903882575757
7,0.7000000000000001,0.8,115,0.74765625,0.4,0.34765625
8,0.8,0.9,137,0.8520472171532847,0.48175182481751827,0.3702953923357664
9,0.9,1.0,510,0.9749550015318628,0.7490196078431373,0.2259353936887255
