image_id,image_label,mask_quartile,gt_component_count,pred_component_count,matched_component_count,component_fp,component_fn,avg_matched_iou
10,0,,0,9,0,9,0,0.0
1008,0,,0,0,0,0,0,0.0
10176,0,,0,0,0,0,0,0.0
10296,0,,0,2,0,2,0,0.0
10408,0,,0,1,0,1,0,0.0
10458,0,,0,0,0,0,0,0.0
10632,0,,0,0,0,0,0,0.0
10742,0,,0,1,0,1,0,0.0
10878,0,,0,0,0,0,0,0.0
10951,0,,0,0,0,0,0,0.0
1101,0,,0,1,0,1,0,0.0
11206,0,,0,0,0,0,0,0.0
11277,0,,0,0,0,0,0,0.0
11356,0,,0,2,0,2,0,0.0
1143,0,,0,0,0,0,0,0.0
11513,0,,0,0,0,0,0,0.0
11662,0,,0,1,0,1,0,0.0
11740,0,,0,0,0,0,0,0.0
11854,0,,0,0,0,0,0,0.0
11964,0,,0,0,0,0,0,0.0
12073,0,,0,0,0,0,0,0.0
12262,0,,0,4,0,4,0,0.0
12300,0,,0,1,0,1,0,0.0
12364,0,,0,1,0,1,0,0.0
12446,0,,0,0,0,0,0,0.0
12572,0,,0,0,0,0,0,0.0
12629,0,,0,2,0,2,0,0.0
12793,0,,0,1,0,1,0,0.0
12879,0,,0,0,0,0,0,0.0
13020,0,,0,0,0,0,0,0.0
13333,0,,0,0,0,0,0,0.0
13451,0,,0,4,0,4,0,0.0
13603,0,,0,2,0,2,0,0.0
13670,0,,0,0,0,0,0,0.0
13742,0,,0,1,0,1,0,0.0
13839,0,,0,0,0,0,0,0.0
13893,0,,0,1,0,1,0,0.0
13971,0,,0,0,0,0,0,0.0
14070,0,,0,0,0,0,0,0.0
14114,0,,0,0,0,0,0,0.0
1419,0,,0,0,0,0,0,0.0
14331,0,,0,2,0,2,0,0.0
14436,0,,0,1,0,1,0,0.0
14700,0,,0,0,0,0,0,0.0
14770,0,,0,0,0,0,0,0.0
14829,0,,0,0,0,0,0,0.0
14988,0,,0,1,0,1,0,0.0
15061,0,,0,1,0,1,0,0.0
15269,0,,0,0,0,0,0,0.0
1536,0,,0,0,0,0,0,0.0
15426,0,,0,0,0,0,0,0.0
15579,0,,0,0,0,0,0,0.0
15733,0,,0,0,0,0,0,0.0
15860,0,,0,0,0,0,0,0.0
15940,0,,0,1,0,1,0,0.0
1608,0,,0,0,0,0,0,0.0
16161,0,,0,0,0,0,0,0.0
16219,0,,0,0,0,0,0,0.0
16294,0,,0,0,0,0,0,0.0
1641,0,,0,0,0,0,0,0.0
16534,0,,0,1,0,1,0,0.0
16647,0,,0,0,0,0,0,0.0
16703,0,,0,0,0,0,0,0.0
16866,0,,0,4,0,4,0,0.0
16960,0,,0,0,0,0,0,0.0
17071,0,,0,0,0,0,0,0.0
17245,0,,0,0,0,0,0,0.0
17298,0,,0,1,0,1,0,0.0
17493,0,,0,4,0,4,0,0.0
17625,0,,0,5,0,5,0,0.0
17846,0,,0,0,0,0,0,0.0
1813,0,,0,0,0,0,0,0.0
18440,0,,0,0,0,0,0,0.0
1856,0,,0,1,0,1,0,0.0
187,0,,0,0,0,0,0,0.0
1879,0,,0,0,0,0,0,0.0
18995,0,,0,0,0,0,0,0.0
19281,0,,0,0,0,0,0,0.0
1940,0,,0,0,0,0,0,0.0
19593,0,,0,0,0,0,0,0.0
19633,0,,0,0,0,0,0,0.0
19728,0,,0,4,0,4,0,0.0
19847,0,,0,2,0,2,0,0.0
19953,0,,0,0,0,0,0,0.0
20103,0,,0,0,0,0,0,0.0
20270,0,,0,0,0,0,0,0.0
20379,0,,0,4,0,4,0,0.0
20490,0,,0,0,0,0,0,0.0
20587,0,,0,0,0,0,0,0.0
20753,0,,0,2,0,2,0,0.0
20800,0,,0,0,0,0,0,0.0
20833,0,,0,0,0,0,0,0.0
20920,0,,0,0,0,0,0,0.0
21204,0,,0,0,0,0,0,0.0
21264,0,,0,0,0,0,0,0.0
21540,0,,0,3,0,3,0,0.0
2164,0,,0,0,0,0,0,0.0
21728,0,,0,0,0,0,0,0.0
21851,0,,0,0,0,0,0,0.0
22046,0,,0,0,0,0,0,0.0
22155,0,,0,0,0,0,0,0.0
22182,0,,0,0,0,0,0,0.0
2228,0,,0,4,0,4,0,0.0
22337,0,,0,2,0,2,0,0.0
22565,0,,0,0,0,0,0,0.0
22739,0,,0,0,0,0,0,0.0
22797,0,,0,0,0,0,0,0.0
2290,0,,0,0,0,0,0,0.0
22951,0,,0,0,0,0,0,0.0
2305,0,,0,0,0,0,0,0.0
23143,0,,0,0,0,0,0,0.0
23236,0,,0,0,0,0,0,0.0
23357,0,,0,0,0,0,0,0.0
23460,0,,0,1,0,1,0,0.0
23527,0,,0,0,0,0,0,0.0
23726,0,,0,0,0,0,0,0.0
23904,0,,0,0,0,0,0,0.0
24029,0,,0,0,0,0,0,0.0
24218,0,,0,1,0,1,0,0.0
24332,0,,0,0,0,0,0,0.0
24381,0,,0,0,0,0,0,0.0
2450,0,,0,0,0,0,0,0.0
24600,0,,0,0,0,0,0,0.0
24676,0,,0,0,0,0,0,0.0
24749,0,,0,0,0,0,0,0.0
24937,0,,0,0,0,0,0,0.0
25003,0,,0,0,0,0,0,0.0
25124,0,,0,0,0,0,0,0.0
2534,0,,0,0,0,0,0,0.0
25388,0,,0,0,0,0,0,0.0
25458,0,,0,0,0,0,0,0.0
25525,0,,0,1,0,1,0,0.0
25638,0,,0,0,0,0,0,0.0
2577,0,,0,0,0,0,0,0.0
25981,0,,0,4,0,4,0,0.0
26035,0,,0,0,0,0,0,0.0
26148,0,,0,0,0,0,0,0.0
2622,0,,0,1,0,1,0,0.0
26329,0,,0,0,0,0,0,0.0
26435,0,,0,0,0,0,0,0.0
26492,0,,0,2,0,2,0,0.0
26730,0,,0,0,0,0,0,0.0
27061,0,,0,2,0,2,0,0.0
27195,0,,0,0,0,0,0,0.0
27409,0,,0,1,0,1,0,0.0
27586,0,,0,0,0,0,0,0.0
27694,0,,0,0,0,0,0,0.0
27896,0,,0,0,0,0,0,0.0
28014,0,,0,0,0,0,0,0.0
28195,0,,0,4,0,4,0,0.0
28245,0,,0,3,0,3,0,0.0
28283,0,,0,0,0,0,0,0.0
28412,0,,0,0,0,0,0,0.0
28496,0,,0,0,0,0,0,0.0
28878,0,,0,0,0,0,0,0.0
28928,0,,0,2,0,2,0,0.0
28965,0,,0,0,0,0,0,0.0
29129,0,,0,0,0,0,0,0.0
29229,0,,0,0,0,0,0,0.0
29464,0,,0,0,0,0,0,0.0
29482,0,,0,1,0,1,0,0.0
29593,0,,0,0,0,0,0,0.0
29663,0,,0,0,0,0,0,0.0
29736,0,,0,0,0,0,0,0.0
298,0,,0,0,0,0,0,0.0
30045,0,,0,0,0,0,0,0.0
