sample_id,image_id,image_path,class_name,image_label,gt_area,gt_area_ratio,mask_quartile,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label
authentic__10,10,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10.png,authentic,0,0,0.0,,9501,0.06443277994791667,1.0525207872744708e-11,1.0525207872744708e-11,0.95703125,1
authentic__1008,1008,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1008.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.299072265625,0
authentic__10176,10176,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10176.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.16162109375,0
authentic__10296,10296,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10296.png,authentic,0,0,0.0,,11110,0.0753445095486111,9.000900089927983e-12,9.000900089927983e-12,0.95703125,1
authentic__10408,10408,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10408.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.697265625,0
authentic__10458,10458,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10458.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6181640625,0
authentic__10632,10632,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10632.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.43115234375,0
authentic__10742,10742,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10742.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.415283203125,0
authentic__10878,10878,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10878.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.66943359375,0
authentic__10951,10951,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10951.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.54833984375,0
authentic__1101,1101,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1101.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.92236328125,1
authentic__11206,11206,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11206.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.1224365234375,0
authentic__11277,11277,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11277.png,authentic,0,0,0.0,,296,0.002007378472222222,3.3783783772370337e-10,3.3783783772370337e-10,0.90087890625,1
authentic__11356,11356,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11356.png,authentic,0,0,0.0,,553,0.003750271267361111,1.808318263687465e-10,1.808318263687465e-10,0.9755859375,1
authentic__1143,1143,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1143.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.374267578125,0
authentic__11513,11513,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11513.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.72998046875,0
authentic__11662,11662,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11662.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.85791015625,1
authentic__11740,11740,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11740.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.64892578125,0
authentic__11854,11854,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11854.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.7802734375,1
authentic__11964,11964,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11964.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.10650634765625,0
authentic__12073,12073,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12073.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.70556640625,0
authentic__12262,12262,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12262.png,authentic,0,0,0.0,,1635,0.011088053385416666,6.116207950696256e-11,6.116207950696256e-11,0.97314453125,1
authentic__12300,12300,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12300.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.87255859375,1
authentic__12364,12364,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12364.png,authentic,0,0,0.0,,5743,0.038947211371527776,1.7412502176259575e-11,1.7412502176259575e-11,0.9736328125,1
authentic__12446,12446,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12446.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.313720703125,0
authentic__12572,12572,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12572.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.304443359375,0
authentic__12629,12629,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12629.png,authentic,0,0,0.0,,1556,0.010552300347222222,6.426735218095968e-11,6.426735218095968e-11,0.97265625,1
authentic__12793,12793,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12793.png,authentic,0,0,0.0,,2830,0.019192165798611112,3.5335689044687783e-11,3.5335689044687783e-11,0.962890625,1
authentic__12879,12879,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12879.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.273193359375,0
authentic__13020,13020,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13020.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.544921875,0
authentic__13333,13333,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13333.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.7890625,1
authentic__13451,13451,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13451.png,authentic,0,0,0.0,,30147,0.20444742838541666,3.317079643071227e-12,3.317079643071227e-12,0.94921875,1
authentic__13603,13603,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13603.png,authentic,0,0,0.0,,368,0.002495659722222222,2.717391303609404e-10,2.717391303609404e-10,0.96533203125,1
authentic__13670,13670,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13670.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.1531982421875,0
authentic__13742,13742,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13742.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.9833984375,1
authentic__13839,13839,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13839.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.51513671875,0
authentic__13893,13893,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13893.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.7333984375,0
authentic__13971,13971,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13971.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.78955078125,1
authentic__14070,14070,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14070.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.64892578125,0
authentic__14114,14114,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14114.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.1485595703125,0
authentic__1419,1419,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1419.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.5712890625,0
authentic__14331,14331,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14331.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.9462890625,1
authentic__14436,14436,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14436.png,authentic,0,0,0.0,,130,0.0008816189236111111,7.692307686390532e-10,7.692307686390532e-10,0.94140625,1
authentic__14700,14700,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14700.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.7509765625,0
