image_id,image_path,class_name,gt_area,gt_area_ratio,mask_quartile,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label,gt_component_count,pred_component_count,matched_component_count,failure_group,model_name
57328,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/57328.png,forged,14118,0.09574381510416667,Q4,13753,0.09326850043402778,0.9764988697930591,0.9540769824023412,0.99951171875,1,2,2,2,best_forged_cases,segformer_b0_rgb_384_smallmask
16219,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/16219.png,forged,14182,0.09617784288194445,Q4,14486,0.0982394748263889,0.9759313520302221,0.9529940731660672,1.0,1,2,2,2,best_forged_cases,segformer_b0_rgb_384_smallmask
23904,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/23904.png,forged,22723,0.15410020616319445,Q4,23463,0.15911865234375,0.9715931234573862,0.9447555686557549,1.0,1,2,3,2,best_forged_cases,segformer_b0_rgb_384_smallmask
53404,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/53404.png,forged,9205,0.06242540147569445,Q4,9139,0.06197781032986111,0.9682730047973819,0.938497305294954,1.0,1,2,2,2,best_forged_cases,segformer_b0_rgb_384_smallmask
20587,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/20587.png,forged,23070,0.15645345052083334,Q4,23086,0.1565619574652778,0.9666782216830603,0.93550551432073,1.0,1,4,3,3,best_forged_cases,segformer_b0_rgb_384_smallmask
13670,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/13670.png,forged,16855,0.11430528428819445,Q4,17347,0.1176418728298611,0.9642126191451839,0.9308982103543674,1.0,1,2,2,2,best_forged_cases,segformer_b0_rgb_384_smallmask
23527,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/23527.png,forged,16016,0.1086154513888889,Q4,16609,0.1126369900173611,0.96306513409973,0.9287614543308971,1.0,1,2,3,2,best_forged_cases,segformer_b0_rgb_384_smallmask
40919,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/40919.png,forged,12041,0.08165825737847222,Q4,12283,0.08329942491319445,0.9609439236969209,0.9248239297307523,1.0,1,2,2,2,best_forged_cases,segformer_b0_rgb_384_smallmask
4222,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/4222.png,forged,27578,0.18702528211805555,Q4,29202,0.19803873697916666,0.9601268052131734,0.9233114287652486,0.9970703125,1,1,1,1,best_forged_cases,segformer_b0_rgb_384_smallmask
56589,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/56589.png,forged,17815,0.1208157009548611,Q4,19097,0.1295098198784722,0.9578998699611023,0.9192013726411937,0.99951171875,1,2,3,2,best_forged_cases,segformer_b0_rgb_384_smallmask
