model_name,failure_group,n,csv,png
segformer_b0_rgb_384_smallmask,best_forged_cases,12,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/best_forged_cases.csv,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/best_forged_cases.png
segformer_b0_rgb_384_smallmask,worst_forged_cases,12,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/worst_forged_cases.csv,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/worst_forged_cases.png
segformer_b0_rgb_384_smallmask,small_mask_failures,12,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/small_mask_failures.csv,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/small_mask_failures.png
segformer_b0_rgb_384_smallmask,false_positive_authentic,12,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/false_positive_authentic.csv,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/false_positive_authentic.png
segformer_b0_rgb_384_smallmask,false_negative_forged,12,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/false_negative_forged.csv,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/false_negative_forged.png
segformer_b0_rgb_384_smallmask,large_mask_success,12,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/large_mask_success.csv,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/large_mask_success.png
segformer_b0_rgb_384_smallmask,large_mask_failure,12,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/large_mask_failure.csv,/kaggle/working/experiments_full/final_analysis/segformer_b0_rgb_384_smallmask/failure_cases/large_mask_failure.png
efficientnetb0_unet_rgb_384_smallmask,best_forged_cases,12,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/best_forged_cases.csv,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/best_forged_cases.png
efficientnetb0_unet_rgb_384_smallmask,worst_forged_cases,12,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/worst_forged_cases.csv,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/worst_forged_cases.png
efficientnetb0_unet_rgb_384_smallmask,small_mask_failures,12,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/small_mask_failures.csv,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/small_mask_failures.png
efficientnetb0_unet_rgb_384_smallmask,false_positive_authentic,12,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/false_positive_authentic.csv,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/false_positive_authentic.png
efficientnetb0_unet_rgb_384_smallmask,false_negative_forged,12,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/false_negative_forged.csv,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/false_negative_forged.png
efficientnetb0_unet_rgb_384_smallmask,large_mask_success,12,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/large_mask_success.csv,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/large_mask_success.png
efficientnetb0_unet_rgb_384_smallmask,large_mask_failure,12,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/large_mask_failure.csv,/kaggle/working/experiments_full/final_analysis/efficientnetb0_unet_rgb_384_smallmask/failure_cases/large_mask_failure.png
