sample_id,image_id,class_name,image_label,label,image_path,mask_paths,mask_path,split,height,width,image_area,gt_area,gt_area_ratio,mask_quartile
authentic__10017,10017,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10017.png,,,train,256,320,81920,0,0.0,
authentic__10030,10030,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10030.png,,,train,666,1000,666000,0,0.0,
authentic__10070,10070,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10070.png,,,train,712,414,294768,0,0.0,
authentic__10138,10138,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10138.png,,,train,3888,2592,10077696,0,0.0,
authentic__10139,10139,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10139.png,,,train,846,759,642114,0,0.0,
authentic__10147,10147,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10147.png,,,train,1912,2568,4910016,0,0.0,
authentic__10152,10152,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10152.png,,,train,152,1201,182552,0,0.0,
authentic__10208,10208,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10208.png,,,train,520,696,361920,0,0.0,
authentic__10266,10266,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10266.png,,,train,666,1000,666000,0,0.0,
authentic__10277,10277,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10277.png,,,train,666,1000,666000,0,0.0,
authentic__10290,10290,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10290.png,,,train,1200,1600,1920000,0,0.0,
authentic__10348,10348,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10348.png,,,train,256,320,81920,0,0.0,
authentic__10398,10398,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10398.png,,,train,402,618,248436,0,0.0,
authentic__10435,10435,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10435.png,,,train,422,1137,479814,0,0.0,
authentic__10448,10448,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10448.png,,,train,68,753,51204,0,0.0,
authentic__10457,10457,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10457.png,,,train,256,256,65536,0,0.0,
authentic__10476,10476,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10476.png,,,train,666,1000,666000,0,0.0,
authentic__10570,10570,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10570.png,,,train,458,1216,556928,0,0.0,
