sample_id_segformer,image_id_segformer,image_path_segformer,class_name_segformer,image_label_segformer,gt_area_segformer,gt_area_ratio_segformer,mask_quartile_segformer,pred_area_segformer,pred_area_ratio_segformer,dice_segformer,iou_segformer,image_score_segformer,image_pred_label_segformer,case_key,sample_id_efficientnet,image_id_efficientnet,image_path_efficientnet,class_name_efficientnet,image_label_efficientnet,gt_area_efficientnet,gt_area_ratio_efficientnet,mask_quartile_efficientnet,pred_area_efficientnet,pred_area_ratio_efficientnet,dice_efficientnet,iou_efficientnet,image_score_efficientnet,image_pred_label_efficientnet,dice_diff_segformer_minus_efficientnet,failure_group
forged__30045,30045,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/30045.png,forged,1,13668,0.09269205729166667,Q3,12087,0.08197021484375,0.9289846631724753,0.8673868909522376,0.99169921875,1,30045|forged,forged__30045,30045,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/30045.png,forged,1,13668,0.09269205729166667,Q3,218,0.0014784071180555555,0.03139853090140142,0.015949663454668205,0.8955078125,1,0.8975861322710739,segformer_success_efficientnet_failure
forged__41080,41080,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/41080.png,forged,1,10186,0.06907823350694445,Q4,11852,0.08037651909722222,0.8452672656327922,0.7320025149345174,0.99951171875,1,41080|forged,forged__41080,41080,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/41080.png,forged,1,10186,0.06907823350694445,Q4,0,0.0,9.817396426371319e-12,9.817396426371319e-12,0.72802734375,0,0.8452672656229748,segformer_success_efficientnet_failure
forged__47770,47770,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/47770.png,forged,1,5763,0.039082845052083336,Q3,3791,0.025709364149305556,0.7454469332243515,0.5941932254364393,0.99609375,1,47770|forged,forged__47770,47770,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/47770.png,forged,1,5763,0.039082845052083336,Q3,0,0.0,1.7352073572490853e-11,1.7352073572490853e-11,0.794921875,1,0.7454469332069994,segformer_success_efficientnet_failure
forged__55695,55695,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/55695.png,forged,1,25536,0.17317708333333334,Q3,14981,0.1015964084201389,0.7320384036337043,0.5773348386359741,0.99609375,1,55695|forged,forged__55695,55695,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/55695.png,forged,1,25536,0.17317708333333334,Q3,867,0.005879720052083333,0.06567435519044929,0.03395206767295601,0.90380859375,1,0.666364048443255,segformer_success_efficientnet_failure
forged__3751,3751,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/3751.png,forged,1,1595,0.010816786024305556,Q1,784,0.005316840277777778,0.6565783942977479,0.4887359199318688,0.99853515625,1,3751|forged,forged__3751,3751,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/3751.png,forged,1,1595,0.010816786024305556,Q1,0,0.0,6.269592476095949e-11,6.269592476095949e-11,0.78076171875,1,0.6565783942350519,segformer_success_efficientnet_failure
forged__16219,16219,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/16219.png,forged,1,14182,0.09617784288194445,Q4,14486,0.0982394748263889,0.9759313520302221,0.9529940731660672,1.0,1,16219|forged,forged__16219,16219,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/16219.png,forged,1,14182,0.09617784288194445,Q4,25922,0.17579481336805555,0.38175743068177304,0.23590865666357697,0.99853515625,1,0.594173921348449,segformer_success_efficientnet_failure
forged__25124,25124,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/25124.png,forged,1,3850,0.026109483506944444,Q1,5123,0.03474256727430555,0.5935584531417188,0.42202852615812947,0.97509765625,1,25124|forged,forged__25124,25124,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/25124.png,forged,1,3850,0.026109483506944444,Q1,0,0.0,2.5974025973351323e-11,2.5974025973351323e-11,0.87744140625,1,0.5935584531157448,segformer_success_efficientnet_failure
forged__12300,12300,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/12300.png,forged,1,1096,0.007432725694444444,Q1,617,0.004184299045138889,0.5919439579922975,0.4203980099983086,0.98974609375,1,12300|forged,forged__12300,12300,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/12300.png,forged,1,1096,0.007432725694444444,Q1,0,0.0,9.124087590408385e-11,9.124087590408385e-11,0.89501953125,1,0.5919439579010566,segformer_success_efficientnet_failure
forged__7972,7972,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/7972.png,forged,1,9308,0.06312391493055555,Q3,4400,0.029839409722222224,0.5787861103036271,0.4072477158463479,0.97314453125,1,7972|forged,forged__7972,7972,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/7972.png,forged,1,9308,0.06312391493055555,Q3,0,0.0,1.074344649752102e-11,1.074344649752102e-11,0.178955078125,0,0.5787861102928837,segformer_success_efficientnet_failure
forged__298,298,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/298.png,forged,1,21806,0.1478814019097222,Q2,43895,0.2976820203993056,0.5727157881926109,0.4012626101064234,0.99658203125,1,298|forged,forged__298,298,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/298.png,forged,1,21806,0.1478814019097222,Q2,0,0.0,4.5858937906787765e-12,4.5858937906787765e-12,0.6904296875,0,0.572715788188025,segformer_success_efficientnet_failure
forged__13451,13451,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/13451.png,forged,1,46884,0.3179524739583333,Q4,61296,0.4156901041666667,0.8565908670735287,0.7491551732505228,0.9990234375,1,13451|forged,forged__13451,13451,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/13451.png,forged,1,46884,0.3179524739583333,Q4,10661,0.0722995334201389,0.2884003823107335,0.1684975734579396,0.93798828125,1,0.5681904847627952,segformer_success_efficientnet_failure
forged__25388,25388,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/25388.png,forged,1,17735,0.1202731662326389,Q4,15217,0.10319688585069445,0.5626972566170105,0.3914952915865399,0.9443359375,1,25388|forged,forged__25388,25388,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/25388.png,forged,1,17735,0.1202731662326389,Q4,0,0.0,5.638567803746046e-12,5.638567803746046e-12,0.56396484375,0,0.5626972566113719,segformer_success_efficientnet_failure
forged__64941,64941,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/64941.png,forged,1,7976,0.05409071180555555,Q2,612,0.004150390625,0.14252445273471676,0.07673019058329074,0.95703125,1,64941|forged,forged__64941,64941,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/64941.png,forged,1,7976,0.05409071180555555,Q2,7166,0.04859754774305555,0.856954167217957,0.7497111162497144,0.99755859375,1,-0.7144297144832403,efficientnet_success_segformer_failure
