model_name,degradation,delta_forged_dice,delta_q1_dice,delta_component_f1_iou010,delta_authentic_fp_rate,delta_image_f1
efficientnetb0_unet_rgb_384_smallmask,clean_png,0.0,0.0,0.0,0.0,0.0
efficientnetb0_unet_rgb_384_smallmask,jpeg_q90,-0.005455647736603342,-0.014322242928168583,-0.010294104998098186,0.01906779661016947,-0.008498481956418669
efficientnetb0_unet_rgb_384_smallmask,jpeg_q70,-0.004372489482054709,-0.11008792350277227,-0.02835228984266891,0.012711864406779655,-0.02533237089047835
efficientnetb0_unet_rgb_384_smallmask,jpeg_q50,-0.009517877060263191,-0.179127754081171,-0.056655453134422384,0.012711864406779655,-0.0365538545739682
efficientnetb0_unet_rgb_384_smallmask,gaussian_blur_light,0.002581504140473312,-0.018361343571541233,-0.002058322240092725,-0.01483050847457626,-0.002415496823778507
efficientnetb0_unet_rgb_384_smallmask,gaussian_blur_medium,-0.0035388954571259346,-0.04853705706213901,-0.009100142420515767,-0.03177966101694915,-0.012574738912067174
efficientnetb0_unet_rgb_384_smallmask,gaussian_noise_light,-0.0201172890985154,-0.06471256257126878,-0.035493996634204716,0.08262711864406777,-0.023490042729770066
efficientnetb0_unet_rgb_384_smallmask,gaussian_noise_medium,-0.032810046937493786,-0.14624265383760585,-0.08097943980014466,0.12923728813559324,-0.0542961568604472
efficientnetb0_unet_rgb_384_smallmask,combined_jpeg70_blur_light,-0.002099198999844565,-0.11679810243663516,-0.027614444603227928,-0.012711864406779655,-0.014602542535295249
segformer_b0_rgb_384_smallmask,clean_png,0.0,0.0,0.0,0.0,0.0
segformer_b0_rgb_384_smallmask,jpeg_q90,-0.0013101519482804358,-0.00338612602440419,-0.0035450507687953547,0.004237288135593209,-0.0076635303538361566
segformer_b0_rgb_384_smallmask,jpeg_q70,-0.0026977720278431594,-0.02712574071691401,-0.015814107352013163,0.07415254237288138,-0.021860880831139906
segformer_b0_rgb_384_smallmask,jpeg_q50,-0.010522249696778174,-0.05640143813948184,-0.030572550630293738,0.09110169491525422,-0.022904763756880775
segformer_b0_rgb_384_smallmask,gaussian_blur_light,0.005354878135085284,-0.004928426737044078,0.0013795748892180826,-0.006355932203389814,0.00307751982591975
segformer_b0_rgb_384_smallmask,gaussian_blur_medium,0.00508937494449202,-0.01612294563138289,-0.0023511329620836685,-0.03813559322033899,0.0018230343108514013
segformer_b0_rgb_384_smallmask,gaussian_noise_light,-0.008410370000950462,-0.01993841283412523,-0.02073403843969207,0.07203389830508478,-0.022966782982840828
segformer_b0_rgb_384_smallmask,gaussian_noise_medium,-0.02763099683061232,-0.10001186444630325,-0.07551924095961643,0.15889830508474573,-0.03256211047554003
segformer_b0_rgb_384_smallmask,combined_jpeg70_blur_light,0.00024430241319228774,-0.030791320249237975,-0.014249854430033904,0.050847457627118675,-0.020915219959677045
