image_id,image_path,class_name,gt_area,gt_area_ratio,mask_quartile,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label,gt_component_count,pred_component_count,matched_component_count,failure_group,model_name
21204,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/21204.png,forged,730,0.004950629340277778,Q2,0,0.0,1.3698630135109776e-10,1.3698630135109776e-10,0.1695556640625,0,12,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
40298,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/40298.png,forged,1006,0.006822374131944444,Q1,0,0.0,9.940357851894596e-11,9.940357851894596e-11,0.1888427734375,0,12,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
38294,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/38294.png,forged,10454,0.0708957248263889,Q4,0,0.0,9.565716472072261e-12,9.565716472072261e-12,0.222412109375,0,2,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
7130,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/7130.png,forged,374,0.002536349826388889,Q1,0,0.0,2.673796790728931e-10,2.673796790728931e-10,0.2413330078125,0,5,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
1608,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/1608.png,forged,651,0.004414876302083333,Q3,0,0.0,1.536098310055899e-10,1.536098310055899e-10,0.252197265625,0,10,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
37586,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/37586.png,forged,2920,0.019802517361111112,Q3,0,0.0,3.424657534129292e-11,3.424657534129292e-11,0.264892578125,0,7,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
2053,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/2053.png,forged,1134,0.0076904296875,Q2,0,0.0,8.818342150897853e-11,8.818342150897853e-11,0.30078125,0,8,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
14624,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/14624.png,forged,8560,0.058051215277777776,Q2,0,0.0,1.1682242990517729e-11,1.1682242990517729e-11,0.3046875,0,2,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
55541,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/55541.png,forged,471,0.0031941731770833335,Q1,0,0.0,2.123142250080012e-10,2.123142250080012e-10,0.309326171875,0,6,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
59375,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/59375.png,forged,306,0.0020751953125,Q1,0,0.0,3.267973855141185e-10,3.267973855141185e-10,0.332275390625,0,3,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
1419,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/1419.png,forged,1155,0.007832845052083334,Q4,0,0.0,8.658008657259046e-11,8.658008657259046e-11,0.352294921875,0,2,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
60340,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/60340.png,forged,850,0.005764431423611111,Q2,0,0.0,1.1764705880968858e-10,1.1764705880968858e-10,0.373291015625,0,5,0,0,false_negative_forged,segformer_b0_rgb_384_smallmask
