bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,57,0.053483661852384866,0.0,0.053483661852384866
1,0.1,0.2,34,0.14446123908547795,0.058823529411764705,0.08563770967371324
2,0.2,0.30000000000000004,22,0.2477749911221591,0.18181818181818182,0.06595680930397727
3,0.30000000000000004,0.4,22,0.3392999822443182,0.3181818181818182,0.0211181640625
4,0.4,0.5,30,0.4473958333333333,0.26666666666666666,0.18072916666666666
5,0.5,0.6000000000000001,35,0.5567103794642857,0.2,0.3567103794642857
6,0.6000000000000001,0.7000000000000001,43,0.6468136809593024,0.2558139534883721,0.39099972747093026
7,0.7000000000000001,0.8,61,0.7483430455942623,0.3442622950819672,0.40408075051229514
8,0.8,0.9,91,0.8583394144917582,0.3956043956043956,0.4627350188873626
9,0.9,1.0,628,0.9834839644705414,0.7245222929936306,0.25896167147691085
