bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,47,0.051531616677629184,0.0,0.051531616677629184
1,0.1,0.2,32,0.14387003565207124,0.09375,0.05012003565207124
2,0.2,0.30000000000000004,22,0.24343073164874857,0.22727272727272727,0.0161580043760213
3,0.30000000000000004,0.4,21,0.33637844522794086,0.42857142857142855,0.09219298334348769
4,0.4,0.5,27,0.4447276371496695,0.25925925925925924,0.18546837789041026
5,0.5,0.6000000000000001,28,0.5541551283427647,0.35714285714285715,0.19701227119990755
6,0.6000000000000001,0.7000000000000001,46,0.6469488286453745,0.2391304347826087,0.4078183938627658
7,0.7000000000000001,0.8,54,0.7506090391565252,0.3333333333333333,0.4172757058231919
8,0.8,0.9,93,0.8577754305255029,0.3763440860215054,0.4814313445039975
9,0.9,1.0,653,0.9807623723382058,0.6937212863705973,0.2870410859676086
