bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,53,0.05034283084689446,0.0,0.05034283084689446
1,0.1,0.2,38,0.14208241689362025,0.05263157894736842,0.08945083794625183
2,0.2,0.30000000000000004,25,0.24960830330848693,0.24,0.009608303308486943
3,0.30000000000000004,0.4,23,0.343548869309218,0.30434782608695654,0.03920104322226148
4,0.4,0.5,40,0.4481278397142887,0.175,0.2731278397142887
5,0.5,0.6000000000000001,39,0.5551657737829746,0.23076923076923078,0.3243965430137438
6,0.6000000000000001,0.7000000000000001,46,0.6491810187049534,0.2608695652173913,0.3883114534875621
7,0.7000000000000001,0.8,53,0.7523256933914041,0.4528301886792453,0.2994955047121588
8,0.8,0.9,83,0.8571177067526852,0.3614457831325301,0.49567192362015505
9,0.9,1.0,623,0.9829685224958638,0.7287319422150883,0.25423658028077545
