bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,53,0.04929619886965122,0.018867924528301886,0.030428274341349332
1,0.1,0.2,42,0.14593749067613057,0.047619047619047616,0.09831844305708295
2,0.2,0.30000000000000004,29,0.24841568336404604,0.20689655172413793,0.04151913163990811
3,0.30000000000000004,0.4,27,0.3429898840409738,0.25925925925925924,0.08373062478171456
4,0.4,0.5,35,0.4398823159081595,0.2571428571428571,0.1827394587653024
5,0.5,0.6000000000000001,33,0.55336353634343,0.24242424242424243,0.3109392939191876
6,0.6000000000000001,0.7000000000000001,51,0.6431246925802792,0.3333333333333333,0.30979135924694584
7,0.7000000000000001,0.8,69,0.7561739519022513,0.37681159420289856,0.3793623576993528
8,0.8,0.9,75,0.855399428208669,0.32,0.5353994282086689
9,0.9,1.0,609,0.983694046882573,0.7405582922824302,0.2431357546001428
