bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,41,0.0479459441153378,0.0,0.0479459441153378
1,0.1,0.2,29,0.14509391322218138,0.10344827586206896,0.04164563736011241
2,0.2,0.30000000000000004,15,0.24983688096205395,0.2,0.04983688096205394
3,0.30000000000000004,0.4,26,0.3464669103805835,0.23076923076923078,0.11569767961135274
4,0.4,0.5,31,0.4562858727670485,0.3225806451612903,0.1337052276057582
5,0.5,0.6000000000000001,23,0.5547952418741973,0.34782608695652173,0.20696915491767554
6,0.6000000000000001,0.7000000000000001,40,0.6455974012613297,0.275,0.3705974012613297
7,0.7000000000000001,0.8,57,0.7464388880813331,0.3333333333333333,0.41310555474799976
8,0.8,0.9,94,0.8539890881548536,0.3404255319148936,0.5135635562399601
9,0.9,1.0,667,0.980856721011595,0.6881559220389805,0.2927007989726146
