bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,36,0.050176533611698285,0.0,0.050176533611698285
1,0.1,0.2,25,0.15246031075716018,0.12,0.03246031075716019
2,0.2,0.30000000000000004,12,0.26382245620091754,0.3333333333333333,0.06951087713241577
3,0.30000000000000004,0.4,15,0.3565942366917928,0.4666666666666667,0.11007242997487388
4,0.4,0.5,21,0.4436298026925042,0.23809523809523808,0.2055345645972661
5,0.5,0.6000000000000001,24,0.5641735096772512,0.25,0.3141735096772512
6,0.6000000000000001,0.7000000000000001,37,0.6551805541322038,0.35135135135135137,0.3038292027808524
7,0.7000000000000001,0.8,59,0.7530820602077549,0.3728813559322034,0.3802007042755515
8,0.8,0.9,103,0.8574104309082031,0.4077669902912621,0.449643440616941
9,0.9,1.0,691,0.9790085403170496,0.6497829232995659,0.32922561701748376
