bin,lower,upper,count,avg_confidence,accuracy,gap
0,0.0,0.1,50,0.05119338445365429,0.0,0.05119338445365429
1,0.1,0.2,31,0.14357426714512608,0.06451612903225806,0.07905813811286802
2,0.2,0.30000000000000004,26,0.2478356407238887,0.19230769230769232,0.05552794841619638
3,0.30000000000000004,0.4,23,0.3520285292812016,0.30434782608695654,0.047680703194245055
4,0.4,0.5,30,0.44666463434696196,0.2,0.24666463434696195
5,0.5,0.6000000000000001,24,0.5567625487844149,0.25,0.3067625487844149
6,0.6000000000000001,0.7000000000000001,53,0.6485410040279604,0.2830188679245283,0.36552213610343215
7,0.7000000000000001,0.8,47,0.7480479123744559,0.40425531914893614,0.34379259322551975
8,0.8,0.9,104,0.8577079795874082,0.3173076923076923,0.5404002872797159
9,0.9,1.0,635,0.9828929229045478,0.721259842519685,0.26163308038486277
