sample_id,image_id,image_path,class_name,image_label,gt_area,gt_area_ratio,mask_quartile,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label
authentic__10,10,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10.png,authentic,0,0,0.0,,5561,0.037712944878472224,1.7982377269951764e-11,1.7982377269951764e-11,0.9546936750411987,1
authentic__1008,1008,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1008.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.0666336864233017,0
authentic__10176,10176,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10176.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.06870913505554199,0
authentic__10296,10296,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10296.png,authentic,0,0,0.0,,22141,0.1501532660590278,4.5165078361206966e-12,4.5165078361206966e-12,0.9940990209579468,1
authentic__10408,10408,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10408.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.405775249004364,0
authentic__10458,10458,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10458.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.2233717441558838,0
authentic__10632,10632,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10632.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6818575263023376,1
authentic__10742,10742,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10742.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.06767173111438751,0
authentic__10878,10878,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10878.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.7540189623832703,1
authentic__10951,10951,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10951.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.3379064202308655,0
authentic__1101,1101,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1101.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.9631721377372742,1
authentic__11206,11206,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11206.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.04305290803313255,0
authentic__11277,11277,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11277.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.9674044847488403,1
authentic__11356,11356,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11356.png,authentic,0,0,0.0,,391,0.002651638454861111,2.5575447563791445e-10,2.5575447563791445e-10,0.942813515663147,1
authentic__1143,1143,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1143.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.4101511836051941,0
authentic__11513,11513,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11513.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6902264356613159,1
authentic__11662,11662,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11662.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.12371588498353958,0
authentic__11740,11740,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11740.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8023015260696411,1
authentic__11854,11854,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11854.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.9469572901725769,1
authentic__11964,11964,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11964.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.2854871153831482,0
authentic__12073,12073,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12073.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.5003429651260376,0
authentic__12262,12262,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12262.png,authentic,0,0,0.0,,5420,0.03675672743055555,1.8450184501504607e-11,1.8450184501504607e-11,0.9883651733398438,1
authentic__12300,12300,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12300.png,authentic,0,0,0.0,,268,0.0018174913194444445,3.731343282189797e-10,3.731343282189797e-10,0.9736586809158325,1
authentic__12364,12364,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12364.png,authentic,0,0,0.0,,2340,0.015869140625,4.273504273321645e-11,4.273504273321645e-11,0.9223906397819519,1
authentic__12446,12446,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12446.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.17690032720565796,0
authentic__12572,12572,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12572.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.7882497310638428,1
authentic__12629,12629,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12629.png,authentic,0,0,0.0,,453,0.0030721028645833335,2.2075055182764888e-10,2.2075055182764888e-10,0.8999872207641602,1
authentic__12793,12793,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12793.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.14535781741142273,0
authentic__12879,12879,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12879.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.16195295751094818,0
authentic__13020,13020,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13020.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.11921734362840652,0
authentic__13333,13333,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13333.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8385992646217346,1
authentic__13451,13451,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13451.png,authentic,0,0,0.0,,50523,0.3426310221354167,1.979296557999368e-12,1.979296557999368e-12,0.9987987279891968,1
authentic__13603,13603,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13603.png,authentic,0,0,0.0,,2787,0.018900553385416668,3.58808754920746e-11,3.58808754920746e-11,0.9944304823875427,1
authentic__13670,13670,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13670.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.04801805317401886,0
authentic__13742,13742,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13742.png,authentic,0,0,0.0,,140,0.0009494357638888889,7.142857137755102e-10,7.142857137755102e-10,0.9950827360153198,1
authentic__13839,13839,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13839.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.43749162554740906,0
authentic__13893,13893,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13893.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.41591790318489075,0
authentic__13971,13971,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13971.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.800387442111969,1
authentic__14070,14070,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14070.png,authentic,0,0,0.0,,100,0.0006781684027777778,9.99999999e-10,9.99999999e-10,0.8993011116981506,1
authentic__14114,14114,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14114.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.03188334032893181,0
authentic__1419,1419,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1419.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.3401015102863312,0
authentic__14331,14331,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14331.png,authentic,0,0,0.0,,139,0.0009426540798611111,7.194244599140831e-10,7.194244599140831e-10,0.9906032681465149,1
authentic__14436,14436,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14436.png,authentic,0,0,0.0,,6535,0.044318305121527776,1.5302218821494992e-11,1.5302218821494992e-11,0.9898365139961243,1
authentic__14700,14700,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14700.png,authentic,0,0,0.0,,135,0.00091552734375,7.407407401920439e-10,7.407407401920439e-10,0.9312166571617126,1
authentic__14770,14770,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14770.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.06005563959479332,0
authentic__14829,14829,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14829.png,authentic,0,0,0.0,,111,0.0007527669270833334,9.009009000892785e-10,9.009009000892785e-10,0.9542853236198425,1
authentic__14988,14988,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14988.png,authentic,0,0,0.0,,575,0.003899468315972222,1.7391304344801514e-10,1.7391304344801514e-10,0.9868676662445068,1
authentic__15061,15061,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15061.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6533230543136597,1
authentic__15269,15269,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15269.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.06608537584543228,0
authentic__1536,1536,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1536.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.31138432025909424,0
authentic__15426,15426,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15426.png,authentic,0,0,0.0,,5650,0.03831651475694445,1.769911504393453e-11,1.769911504393453e-11,0.985693097114563,1
authentic__15579,15579,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15579.png,authentic,0,0,0.0,,311,0.002109103732638889,3.215434082567384e-10,3.215434082567384e-10,0.9940893650054932,1
