sample_id,image_id,image_path,class_name,image_label,gt_area,gt_area_ratio,mask_quartile,pred_area,pred_area_ratio,dice,iou,image_score,image_pred_label
authentic__10,10,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10.png,authentic,0,0,0.0,,8987,0.06094699435763889,1.1127183709679234e-11,1.1127183709679234e-11,0.972165584564209,1
authentic__1008,1008,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1008.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.0654609352350235,0
authentic__10176,10176,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10176.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.0796297937631607,0
authentic__10296,10296,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10296.png,authentic,0,0,0.0,,14006,0.09498426649305555,7.139797229707697e-12,7.139797229707697e-12,0.9897940158843994,1
authentic__10408,10408,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10408.png,authentic,0,0,0.0,,508,0.003445095486111111,1.968503936620373e-10,1.968503936620373e-10,0.889138400554657,1
authentic__10458,10458,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10458.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.10155881941318512,0
authentic__10632,10632,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10632.png,authentic,0,0,0.0,,869,0.005893283420138889,1.1507479860586021e-10,1.1507479860586021e-10,0.9672906994819641,1
authentic__10742,10742,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10742.png,authentic,0,0,0.0,,923,0.006259494357638889,1.0834236185175056e-10,1.0834236185175056e-10,0.983810305595398,1
authentic__10878,10878,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10878.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.7434329390525818,1
authentic__10951,10951,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10951.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.2062138468027115,0
authentic__1101,1101,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1101.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.9198620915412903,1
authentic__11206,11206,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11206.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.04042693227529526,0
authentic__11277,11277,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11277.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.964733898639679,1
authentic__11356,11356,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11356.png,authentic,0,0,0.0,,1075,0.007290310329861111,9.302325580530015e-11,9.302325580530015e-11,0.9290169477462769,1
authentic__1143,1143,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1143.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.4049605131149292,0
authentic__11513,11513,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11513.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.7933361530303955,1
authentic__11662,11662,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11662.png,authentic,0,0,0.0,,917,0.006218804253472222,1.0905125407752986e-10,1.0905125407752986e-10,0.9603123664855957,1
authentic__11740,11740,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11740.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.7033043503761292,1
authentic__11854,11854,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11854.png,authentic,0,0,0.0,,226,0.0015326605902777778,4.42477875910408e-10,4.42477875910408e-10,0.9811696410179138,1
authentic__11964,11964,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11964.png,authentic,0,0,0.0,,7446,0.050496419270833336,1.3430029545884636e-11,1.3430029545884636e-11,0.9640929102897644,1
authentic__12073,12073,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12073.png,authentic,0,0,0.0,,339,0.0022989908854166665,2.9498525065044677e-10,2.9498525065044677e-10,0.9151003956794739,1
authentic__12262,12262,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12262.png,authentic,0,0,0.0,,5300,0.035942925347222224,1.886792452794589e-11,1.886792452794589e-11,0.9838922023773193,1
authentic__12300,12300,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12300.png,authentic,0,0,0.0,,285,0.0019327799479166667,3.508771928593413e-10,3.508771928593413e-10,0.9728404879570007,1
authentic__12364,12364,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12364.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.5881953835487366,0
authentic__12446,12446,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12446.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8616146445274353,1
authentic__12572,12572,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12572.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8311666250228882,1
authentic__12629,12629,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12629.png,authentic,0,0,0.0,,255,0.0017293294270833333,3.92156862591311e-10,3.92156862591311e-10,0.8960809707641602,1
authentic__12793,12793,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12793.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.0810457393527031,0
authentic__12879,12879,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12879.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8527151942253113,1
authentic__13020,13020,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13020.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6935896873474121,1
authentic__13333,13333,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13333.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8207131624221802,1
authentic__13451,13451,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13451.png,authentic,0,0,0.0,,48946,0.3319363064236111,2.043067870710491e-12,2.043067870710491e-12,0.9991660118103027,1
authentic__13603,13603,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13603.png,authentic,0,0,0.0,,2885,0.019565158420138888,3.466204505945712e-11,3.466204505945712e-11,0.9930457472801208,1
authentic__13670,13670,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13670.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.05067599192261696,0
authentic__13742,13742,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13742.png,authentic,0,0,0.0,,113,0.0007663302951388889,8.849557514292427e-10,8.849557514292427e-10,0.9966469407081604,1
authentic__13839,13839,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13839.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.4451238811016083,0
authentic__13893,13893,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13893.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.45829612016677856,0
authentic__13971,13971,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13971.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8764759302139282,1
authentic__14070,14070,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14070.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8590071201324463,1
authentic__14114,14114,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14114.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.03260321542620659,0
authentic__1419,1419,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1419.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.3208778202533722,0
authentic__14331,14331,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14331.png,authentic,0,0,0.0,,138,0.0009358723958333334,7.246376806343206e-10,7.246376806343206e-10,0.9912091493606567,1
authentic__14436,14436,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14436.png,authentic,0,0,0.0,,8001,0.05426025390625,1.2498437695131877e-11,1.2498437695131877e-11,0.9904988408088684,1
authentic__14700,14700,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14700.png,authentic,0,0,0.0,,146,0.0009901258680555555,6.849315063801839e-10,6.849315063801839e-10,0.9293522834777832,1
authentic__14770,14770,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14770.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.04318763688206673,0
authentic__14829,14829,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14829.png,authentic,0,0,0.0,,163,0.0011054144965277778,6.13496932138959e-10,6.13496932138959e-10,0.9710776805877686,1
authentic__14988,14988,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14988.png,authentic,0,0,0.0,,2021,0.013705783420138888,4.9480455217739707e-11,4.9480455217739707e-11,0.9841556549072266,1
authentic__15061,15061,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15061.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.7173275947570801,1
authentic__15269,15269,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15269.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.06529124826192856,0
authentic__1536,1536,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1536.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8411009907722473,1
authentic__15426,15426,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15426.png,authentic,0,0,0.0,,5511,0.037373860677083336,1.8145527127233794e-11,1.8145527127233794e-11,0.9828578233718872,1
authentic__15579,15579,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15579.png,authentic,0,0,0.0,,1005,0.006815592447916667,9.950248755228831e-11,9.950248755228831e-11,0.9803984761238098,1
authentic__15733,15733,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15733.png,authentic,0,0,0.0,,16748,0.11357964409722222,5.970862192464945e-12,5.970862192464945e-12,0.9898321628570557,1
authentic__15860,15860,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15860.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.7713513374328613,1
authentic__15940,15940,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15940.png,authentic,0,0,0.0,,214,0.0014512803819444445,4.672897194078085e-10,4.672897194078085e-10,0.908650815486908,1
authentic__1608,1608,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1608.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.24873660504817963,0
authentic__16161,16161,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/16161.png,authentic,0,0,0.0,,1409,0.009555392795138888,7.097232078985292e-11,7.097232078985292e-11,0.997310996055603,1
authentic__16219,16219,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/16219.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.39537492394447327,0
authentic__16294,16294,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/16294.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.5444452166557312,0
authentic__1641,1641,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1641.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6775727868080139,1
authentic__16534,16534,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/16534.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8624349236488342,1
authentic__16647,16647,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/16647.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.722701370716095,1
authentic__16703,16703,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/16703.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6304947733879089,1
authentic__16866,16866,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/16866.png,authentic,0,0,0.0,,20886,0.14164225260416666,4.787896198387494e-12,4.787896198387494e-12,0.9848729372024536,1
authentic__16960,16960,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/16960.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.0322413370013237,0
authentic__17071,17071,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/17071.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6774830222129822,1
authentic__17245,17245,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/17245.png,authentic,0,0,0.0,,231,0.0015665690104166667,4.329004327130301e-10,4.329004327130301e-10,0.9737337231636047,1
authentic__17298,17298,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/17298.png,authentic,0,0,0.0,,190,0.0012885199652777778,5.263157891966759e-10,5.263157891966759e-10,0.9935751557350159,1
authentic__17493,17493,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/17493.png,authentic,0,0,0.0,,1753,0.011888292100694444,5.70450655985713e-11,5.70450655985713e-11,0.9092947840690613,1
authentic__17625,17625,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/17625.png,authentic,0,0,0.0,,2788,0.018907335069444444,3.5868005737594406e-11,3.5868005737594406e-11,0.9823859333992004,1
authentic__17846,17846,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/17846.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.03007005713880062,0
authentic__1813,1813,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1813.png,authentic,0,0,0.0,,745,0.005052354600694444,1.3422818790144588e-10,1.3422818790144588e-10,0.9707077741622925,1
authentic__18440,18440,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/18440.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.10583849251270294,0
authentic__1856,1856,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1856.png,authentic,0,0,0.0,,6231,0.042256673177083336,1.604878831622454e-11,1.604878831622454e-11,0.954784631729126,1
authentic__187,187,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/187.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6991814374923706,1
authentic__1879,1879,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1879.png,authentic,0,0,0.0,,4482,0.0303955078125,2.2311468094102822e-11,2.2311468094102822e-11,0.9850317239761353,1
authentic__18995,18995,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/18995.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.02484765462577343,0
authentic__19281,19281,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/19281.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8279150724411011,1
authentic__1940,1940,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1940.png,authentic,0,0,0.0,,34217,0.2320488823784722,2.9225238916242726e-12,2.9225238916242726e-12,0.9754952788352966,1
authentic__19593,19593,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/19593.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.3454260528087616,0
authentic__19633,19633,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/19633.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.05122790113091469,0
authentic__19728,19728,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/19728.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6765297055244446,1
authentic__19847,19847,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/19847.png,authentic,0,0,0.0,,1595,0.010816786024305556,6.269592476095949e-11,6.269592476095949e-11,0.9962517619132996,1
authentic__19953,19953,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/19953.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.14934325218200684,0
authentic__20103,20103,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20103.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8637117147445679,1
authentic__20270,20270,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20270.png,authentic,0,0,0.0,,1181,0.008009168836805556,8.467400507327061e-11,8.467400507327061e-11,0.9180519580841064,1
authentic__20379,20379,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20379.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.573872447013855,0
authentic__20490,20490,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20490.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8932119607925415,1
authentic__20587,20587,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20587.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.5453755855560303,0
authentic__20753,20753,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20753.png,authentic,0,0,0.0,,39901,0.2705959743923611,2.5062028520525643e-12,2.5062028520525643e-12,0.9499704837799072,1
authentic__20800,20800,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20800.png,authentic,0,0,0.0,,16884,0.114501953125,5.922767116761888e-12,5.922767116761888e-12,0.9738739132881165,1
authentic__20833,20833,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20833.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8322665095329285,1
authentic__20920,20920,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20920.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.9806334376335144,1
authentic__21204,21204,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/21204.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.17834016680717468,0
authentic__21264,21264,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/21264.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.31489261984825134,0
authentic__21540,21540,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/21540.png,authentic,0,0,0.0,,1585,0.010748969184027778,6.309148264586173e-11,6.309148264586173e-11,0.9943851232528687,1
authentic__2164,2164,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/2164.png,authentic,0,0,0.0,,253,0.0017157660590277778,3.952569168398194e-10,3.952569168398194e-10,0.9045228362083435,1
authentic__21728,21728,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/21728.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6639652252197266,1
authentic__21851,21851,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/21851.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.6956321001052856,1
authentic__22046,22046,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/22046.png,authentic,0,0,0.0,,144,0.0009765625,6.944444439621914e-10,6.944444439621914e-10,0.8802770376205444,1
authentic__22155,22155,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/22155.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.0764206051826477,0
authentic__22182,22182,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/22182.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.8615855574607849,1
authentic__2228,2228,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/2228.png,authentic,0,0,0.0,,12408,0.08414713541666667,8.059316569889914e-12,8.059316569889914e-12,0.9923771619796753,1
authentic__22337,22337,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/22337.png,authentic,0,0,0.0,,306,0.0020751953125,3.267973855141185e-10,3.267973855141185e-10,0.878108561038971,1
authentic__22565,22565,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/22565.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.24993319809436798,0
authentic__22739,22739,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/22739.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.889479398727417,1
authentic__22797,22797,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/22797.png,authentic,0,0,0.0,,11575,0.07849799262152778,8.639308855216938e-12,8.639308855216938e-12,0.9874705672264099,1
authentic__2290,2290,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/2290.png,authentic,0,0,0.0,,0,0.0,1.0,1.0,0.70562344789505,1
