model_name,pixel_precision,pixel_precision_std,pixel_precision_ci95_low,pixel_precision_ci95_high,pixel_recall,pixel_recall_std,pixel_recall_ci95_low,pixel_recall_ci95_high,pixel_f1,pixel_f1_std,pixel_f1_ci95_low,pixel_f1_ci95_high,pixel_dice,pixel_dice_std,pixel_dice_ci95_low,pixel_dice_ci95_high,pixel_iou,pixel_iou_std,pixel_iou_ci95_low,pixel_iou_ci95_high,pixel_specificity,pixel_specificity_std,pixel_specificity_ci95_low,pixel_specificity_ci95_high,image_accuracy,image_accuracy_std,image_accuracy_ci95_low,image_accuracy_ci95_high,image_precision,image_precision_std,image_precision_ci95_low,image_precision_ci95_high,image_recall_sensitivity,image_recall_sensitivity_std,image_recall_sensitivity_ci95_low,image_recall_sensitivity_ci95_high,image_specificity,image_specificity_std,image_specificity_ci95_low,image_specificity_ci95_high,image_f1,image_f1_std,image_f1_ci95_low,image_f1_ci95_high,image_roc_auc,image_roc_auc_std,image_roc_auc_ci95_low,image_roc_auc_ci95_high,threshold,threshold_std,threshold_ci95_low,threshold_ci95_high,forged_pixel_f1,authentic_pixel_f1,forged_pixel_dice,authentic_pixel_dice,forged_pixel_iou,authentic_pixel_iou,forged_pixel_precision,authentic_pixel_precision,forged_pixel_recall,authentic_pixel_recall,authentic_pred_positive_rate,forged_pred_positive_rate,best_threshold,val_pixel_f1,val_image_f1,epochs_ran,best_trainlog_val_dice,best_epoch
segformer_b0,0.5712161288700689,0.4689481773388941,0.4873106538271168,0.655121603913021,0.5925929305160612,0.4322713024861723,0.5152497810270148,0.6699360800051076,0.4347644703454184,0.430193479760273,0.3577930905130128,0.511735850177824,0.4347644703454184,0.430193479760273,0.3577930905130128,0.511735850177824,0.3939382265217352,0.4314689521214701,0.316738635727987,0.4711378173154835,0.9938740102057936,0.0157106947348636,0.9910630102516752,0.9966850101599118,0.6666666666666666,0.0431661001376077,0.583125,0.75,0.6515151515151515,0.0577191372540766,0.5373134328358209,0.7575757575757576,0.7166666666666667,0.0587473855272351,0.5941915760869565,0.8245614035087719,0.6166666666666667,0.0625918581622592,0.484810606060606,0.7429220779220779,0.6825396825396826,0.047552878634504,0.5840523598820059,0.7669224430940365,0.7383333333333333,0.0450625536923094,0.6497031906365239,0.8229016290726817,0.9,,,,0.25286227402417005,0.6166666666666667,0.25286227402417005,0.6166666666666667,0.17120978637680384,0.6166666666666667,0.5257655910734713,0.6166666666666667,0.18518586103212256,1.0,0.38333333333333336,0.7166666666666667,0.9,0.4497193746589427,0.7049180327868853,40,0.133775090558629,33
deeplabv3plus,0.52042618602449,0.4677650701743195,0.4367323957123191,0.6041199763366608,0.5910323178356661,0.4307740833310832,0.5139570548435116,0.6681075808278206,0.3999725038329148,0.4207100390583541,0.3246979268362757,0.4752470808295539,0.3999725038329148,0.4207100390583541,0.3246979268362757,0.4752470808295539,0.3580481949916799,0.4199206063329814,0.2829148654314052,0.4331815245519547,0.9894971182670278,0.0285021101811291,0.984397443697345,0.9945967928367104,0.65,0.0448211512822789,0.5583333333333333,0.7333333333333333,0.625,0.0590700407923147,0.5068363100398822,0.7391453245979749,0.75,0.0573856624830132,0.640609375,0.8571428571428571,0.55,0.0683116491607593,0.4126268540202966,0.6833333333333333,0.6818181818181818,0.047442799801608,0.5785123966942148,0.7619218910585817,0.7397222222222223,0.0459586557246485,0.6466165413533835,0.8266462906362877,0.9,,,,0.24994500766582955,0.55,0.24994500766582955,0.55,0.16609638998335977,0.55,0.49085237204897997,0.55,0.18206463567133235,1.0,0.45,0.75,0.9,0.3912984308480571,0.6814814814814815,37,0.1309885424125241,28
efficientnetb0_unet,0.601832562905854,0.4683995801286981,0.5180252443581247,0.6856398814535832,0.5652386652259563,0.4553506632686208,0.4837660941425499,0.6467112363093628,0.4641444453065698,0.4520324625946825,0.3832655756539153,0.5450233149592243,0.4641444453065698,0.4520324625946825,0.3832655756539153,0.5450233149592243,0.4344174206357995,0.4567454936997694,0.352695282722655,0.516139558548944,0.9952658415331544,0.0116222638034016,0.9931863546887174,0.9973453283775912,0.6666666666666666,0.0425224920365171,0.5833333333333334,0.75,0.7,0.0647381249004841,0.5769067796610169,0.8293699186991869,0.5833333333333334,0.0637815055305916,0.4602849336455893,0.7000373134328357,0.75,0.0570664204402736,0.6363636363636364,0.859709618874773,0.6363636363636364,0.0532455060518258,0.5293840177580467,0.7368421052631579,0.6799999999999999,0.0489181289305723,0.5837035484366583,0.7727689707523804,0.9,,,,0.17828889061313966,0.75,0.17828889061313966,0.75,0.11883484127159895,0.75,0.4536651258117078,0.75,0.1304773304519126,1.0,0.25,0.5833333333333334,0.9,0.4464819669211551,0.5794392523364486,18,0.0703218579292297,9
resnet50_unet,0.0298680744310716,0.0571802803189525,0.0196372241685197,0.0400989246936235,0.9589101750141196,0.0839139610266914,0.9438960623617696,0.9739242876664694,0.0523443813100806,0.0940009509054201,0.0355254771723881,0.0691632854477732,0.0523443813100806,0.09400095090542,0.0355254771723881,0.0691632854477732,0.0295795100845373,0.0566896657653846,0.0194364419036084,0.0397225782654663,0.048627950320547,0.0528840741871119,0.0391657888679614,0.0580901117731326,0.5,0.0455756009207577,0.4166666666666667,0.5916666666666667,0.5,0.0455756009207577,0.4166666666666667,0.5916666666666667,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0405510837263517,0.5882352941176471,0.743455497382199,0.4584722222222223,0.0538281260405292,0.3498192385368456,0.560100743006993,0.1,,,,0.10468876262016133,0.0,0.10468876262016133,0.0,0.05915902016907474,0.0,0.059736148862143214,0.0,0.9178203500282393,1.0,1.0,1.0,0.1,0.047477219822035,0.6630434782608695,9,0.0469271466135978,0
doagan,0.4518056476113998,0.489512597425041,0.3642207309591373,0.5393905642636623,0.5423603897822031,0.4914829247455373,0.4544229368416998,0.6302978427227064,0.4516118661668752,0.4856973422448812,0.3647095852807179,0.5385141470530325,0.4516118661668752,0.4856973422448812,0.3647095852807179,0.5385141470530325,0.4426288931913998,0.4866874408726,0.3555494611834074,0.5297083251993921,0.9685749882116508,0.1209310174638086,0.9469376837971042,0.9902122926261973,0.5083333333333333,0.0466878705581787,0.4083333333333333,0.5918749999999998,0.5263157894736842,0.1159486809890474,0.3042391304347826,0.75,0.1666666666666666,0.0476500194403048,0.0768939393939394,0.2631965944272445,0.85,0.0465779655840346,0.7540920554854981,0.9298548094373864,0.2531645569620253,0.0637305279323912,0.1234191508581752,0.3764705882352941,0.4825,0.0543946918741596,0.3725913491703697,0.5896840434419381,0.9,,,,0.05322373233375049,0.85,0.05322373233375049,0.85,0.03525778638279964,0.85,0.05361129522279963,0.85,0.08472077956440624,1.0,0.15,0.16666666666666666,0.9,0.4450997951276177,0.2469135802469135,9,0.0453193427529186,0
siamese_cmfd,0.4511888926367613,0.4893571506410666,0.3636317889431231,0.5387459963303995,0.5391343798814607,0.4926846329258292,0.4509819140661819,0.6272868456967395,0.4477187437726943,0.4866423157991882,0.36064738566477,0.5347901018806186,0.4477187437726943,0.4866423157991882,0.36064738566477,0.5347901018806186,0.439797663699279,0.488033819665527,0.3524773339595812,0.5271179934389767,0.9722314293095644,0.1024664035415001,0.9538978635115694,0.9905649951075592,0.5166666666666667,0.0468396733193489,0.4166666666666667,0.6002083333333331,0.55,0.1126768214580643,0.318122009569378,0.7693181818181818,0.1833333333333333,0.0500780165389063,0.0922727272727272,0.2857142857142857,0.85,0.0465779655840346,0.7540920554854981,0.9298548094373864,0.275,0.0652692014520398,0.1463061152350654,0.395610119047619,0.4375,0.0514971731787031,0.3361056052855925,0.5353666538140223,0.9,,,,0.045437487545388774,0.85,0.045437487545388774,0.85,0.02959532739855789,0.85,0.05237778527352273,0.85,0.07826875976292151,1.0,0.15,0.18333333333333332,0.9,0.4341011877310917,0.2439024390243902,9,0.0450357575900852,0
busternet,0.4710887840784224,0.4930542072211957,0.3828701930315831,0.5593073751252617,0.5385319463116642,0.4943824646509367,0.4500756998563868,0.6269881927669416,0.463378285916344,0.4894494843135265,0.3758046616325328,0.5509519102001552,0.463378285916344,0.4894494843135265,0.3758046616325328,0.5509519102001552,0.4561877774895793,0.4905854693822062,0.3684108996877138,0.5439646552914448,0.9754065732864068,0.0927633950034458,0.958809095994718,0.9920040505780956,0.5,0.0460326519626382,0.4083333333333333,0.5833333333333334,0.5,0.1340918587977651,0.25,0.7692307692307693,0.1166666666666666,0.0395599898445852,0.0461363636363636,0.1936116382036685,0.8833333333333333,0.0412855995387843,0.7931034482758621,0.9545454545454546,0.1891891891891892,0.0583126053306808,0.0789217361585782,0.2973116733755032,0.49125,0.0510611319329579,0.3898541792467822,0.5944858415896503,0.8,,,,0.04342323849935474,0.8833333333333333,0.04342323849935474,0.8833333333333333,0.0290422216458253,0.8833333333333333,0.05884423482351142,0.8833333333333333,0.07706389262332859,1.0,0.11666666666666667,0.11666666666666667,0.8,0.4469940014920412,0.25,11,0.0443214377155527,2
qdl_cmfd,0.4831996451329239,0.4947895582038178,0.3946705603991501,0.5717287298666978,0.5058665301016053,0.4968924587092096,0.4169611887271207,0.5947718714760899,0.434281011278926,0.4900681738132276,0.346596689398056,0.521965333159796,0.434281011278926,0.4900681738132276,0.346596689398056,0.521965333159796,0.4301370941720762,0.492506785568052,0.3420164492866155,0.518257739057537,0.99978296924059,0.0009797594449142,0.99960766803328,0.9999582704479,0.5166666666666667,0.0455298511126748,0.425,0.6,0.55,0.1119152009777557,0.3157072368421053,0.7692307692307693,0.1833333333333333,0.0509043928370896,0.0869377811094452,0.2903225806451613,0.85,0.0460098590374817,0.758594566353187,0.936532738095238,0.275,0.0661157705222959,0.1388888888888889,0.4001063829787233,0.515,0.0538057380453687,0.4148174704523477,0.6200337921626983,0.9,,,,0.018562022557851925,0.85,0.018562022557851925,0.85,0.010274188344152557,0.85,0.11639929026584797,0.85,0.011733060203210636,1.0,0.15,0.18333333333333332,0.9,0.3752065835232984,0.2666666666666666,40,0.0856287913629785,39
cmfdformer,0.4430212762029509,0.4939560089592016,0.3546413323523725,0.5314012200535293,0.5067601098667482,0.4977357956492473,0.4177038763681559,0.5958163433653405,0.44020425589897,0.494278326464507,0.3517666421294024,0.5286418696685378,0.44020425589897,0.494278326464507,0.3517666421294024,0.5286418696685378,0.4376567747607823,0.4949698976577886,0.3490954232046055,0.5262181263169592,0.9957725370075392,0.0177930399244332,0.99258895822536,0.9989561157897184,0.4916666666666666,0.0450036485625276,0.4083333333333333,0.575,0.4666666666666667,0.1296587910285251,0.2105263157894736,0.7272727272727273,0.1166666666666666,0.0399634833655755,0.0377183787561146,0.2033976773383553,0.8666666666666667,0.0437461584823465,0.7754772876892693,0.9482758620689656,0.1866666666666666,0.0578761196506501,0.0634432234432234,0.3059276018099547,0.5252777777777778,0.0524940694562551,0.4251708548218559,0.631827744760394,0.9,,,,0.01374184513127351,0.8666666666666667,0.01374184513127351,0.8666666666666667,0.008646882854898017,0.8666666666666667,0.019375885739235092,0.8666666666666667,0.013520219733496512,1.0,0.13333333333333333,0.11666666666666667,0.9,0.4937165696001149,0.2465753424657534,9,0.0493512719403952,0
selfcorr_cmfd,0.4766172860453993,0.4951373733432183,0.3880259692870463,0.5652086028037523,0.5052583814073671,0.4978681648142142,0.4161784640601017,0.5943382987546325,0.4733178223385373,0.4963867582437106,0.3845029622578023,0.5621326824192723,0.4733178223385373,0.4963867582437106,0.3845029622578023,0.5621326824192723,0.470500233025505,0.4979643022992797,0.3814031144996368,0.5595973515513731,0.9984887911205824,0.0070346023498954,0.997230141059811,0.9997474411813538,0.5,0.0450039659827486,0.4083333333333333,0.5833333333333334,0.5,0.1829252158089981,0.1428571428571428,0.8571428571428571,0.0666666666666666,0.0313108329311405,0.0156189903846153,0.1321069182389936,0.9333333333333332,0.0325643247371325,0.8620557029177718,0.984126984126984,0.1176470588235294,0.0514925901295163,0.0289855072463768,0.2222222222222222,0.4616666666666666,0.0514552016361973,0.3628793317479546,0.5634109994394569,0.9,,,,0.013302311343741352,0.9333333333333333,0.01330231134374135,0.9333333333333333,0.007667132717676521,0.9333333333333333,0.019901238757465425,0.9333333333333333,0.010516762814734253,1.0,0.06666666666666667,0.06666666666666667,0.9,0.4511317167050389,0.2337662337662337,10,0.0429593032458797,1
