seed,model_name,forged_pixel_f1,forged_pixel_iou,forged_pixel_precision,forged_pixel_recall,authentic_pred_positive_rate,forged_pred_positive_rate,image_f1,image_roc_auc,epochs_ran,best_threshold
42,plain_unet,0.012053922694696812,0.007365024642543399,0.009105230662436561,0.01837981314344114,0.016666666666666666,0.05,0.09375,0.4475,10,0.75
42,unetplusplus,0.03397147365729491,0.020612891230155025,0.1320714115070894,0.03830991005461407,0.23333333333333334,0.25,0.3370786516853932,0.5165277777777777,18,0.9
42,efficientnetb0_unet,0.17828889061313966,0.11883484127159895,0.4536651258117078,0.1304773304519126,0.25,0.5833333333333334,0.6363636363636364,0.6799999999999999,18,0.9
42,deeplabv3plus,0.03189619916188231,0.021266992982969902,0.041386603224848995,0.030589748869873593,0.1,0.06666666666666667,0.1142857142857142,0.5361111111111111,10,0.85
42,segformer_b0,0.26444506213216684,0.18141285399611914,0.5212697802967869,0.20260508621259382,0.36666666666666664,0.6666666666666666,0.6557377049180327,0.7138888888888888,37,0.85
123,plain_unet,0.0,0.0,0.0,0.0,0.046153846153846156,0.05263157894736842,0.0952380952380952,0.5369770580296895,9,0.7
123,unetplusplus,0.08867641987662925,0.05710219919664405,0.18851402743067033,0.06622650255329594,0.35384615384615387,0.3157894736842105,0.3673469387755102,0.4843454790823212,16,0.85
123,efficientnetb0_unet,0.19352514828993977,0.13787043876466315,0.21011141638299716,0.23445070893918016,0.5076923076923077,0.5087719298245614,0.4873949579831932,0.4975708502024291,18,0.8
123,deeplabv3plus,0.03744398557526281,0.022149129585641962,0.17753307466199286,0.022620952301813067,0.2,0.2982456140350877,0.3908045977011494,0.5403508771929825,40,0.9
123,segformer_b0,0.32613724061045857,0.2241400121706881,0.5797164294045904,0.2545038485658913,0.6,0.8245614035087719,0.6573426573426573,0.7219973009446694,40,0.9
2025,plain_unet,0.06449181958197489,0.03732430444935419,0.06508198936238063,0.15320931641224492,0.3333333333333333,0.4339622641509434,0.4693877551020408,0.5701829616923957,10,0.9
2025,unetplusplus,0.03567057299204727,0.02104145753782111,0.049440776416118375,0.03397620464935287,0.12121212121212122,0.20754716981132076,0.3055555555555556,0.5886220697541453,34,0.8
2025,efficientnetb0_unet,0.187992816642972,0.12494343730773158,0.24762005560240816,0.18717724377678333,0.4090909090909091,0.5849056603773585,0.5585585585585585,0.6197827329902802,13,0.9
2025,deeplabv3plus,0.01548372095102042,0.008750426035878044,0.08753989340298238,0.009075621890490446,0.07575757575757576,0.1320754716981132,0.2153846153846154,0.5883361921097771,40,0.9
2025,segformer_b0,0.20915620368021848,0.13887818882858233,0.5217874086865096,0.14995060311866906,0.16666666666666666,0.6792452830188679,0.72,0.7767295597484276,35,0.9
