experiment_name,gt_area_bin,n,mean_dice,median_dice,dice_lt_0_05
efficientnetb0_unet_rgb_full,"(-0.001, 533.5]",138,0.191395761686561,7.077831127435842e-10,79
unetpp_resnet34_rgb_full,"(-0.001, 533.5]",138,0.17844418591972486,6.514727098718184e-10,80
segformer_b0_rgb_full,"(-0.001, 533.5]",138,0.08123700592259989,3.891286242713118e-10,117
dinov2_lite_decoder_rgb_full,"(-0.001, 533.5]",138,0.06845549115187807,4.222115331442676e-10,110
segformer_b0_rgb_full,"(2128.0, 5518.0]",137,0.4248603962225749,0.4514240085320356,27
dinov2_lite_decoder_rgb_full,"(2128.0, 5518.0]",137,0.41968171470024046,0.4774193548454526,20
efficientnetb0_unet_rgb_full,"(2128.0, 5518.0]",137,0.41938243938711495,0.4433983411915849,22
unetpp_resnet34_rgb_full,"(2128.0, 5518.0]",137,0.41146792734652293,0.4222797927507911,22
efficientnetb0_unet_rgb_full,"(533.5, 2128.0]",138,0.2651915547994079,0.20800094392863794,56
unetpp_resnet34_rgb_full,"(533.5, 2128.0]",138,0.22769038549034212,0.1502762692741824,63
segformer_b0_rgb_full,"(533.5, 2128.0]",138,0.21028481038600272,1.6906472760999822e-10,76
dinov2_lite_decoder_rgb_full,"(533.5, 2128.0]",139,0.17939761412479674,1.8552875692290747e-10,72
segformer_b0_rgb_full,"(5518.0, 1000000000000.0]",138,0.593064388080471,0.6499922649682168,15
dinov2_lite_decoder_rgb_full,"(5518.0, 1000000000000.0]",137,0.5431370361448525,0.6225730252945637,15
unetpp_resnet34_rgb_full,"(5518.0, 1000000000000.0]",138,0.540248750250597,0.5892452693159818,13
efficientnetb0_unet_rgb_full,"(5518.0, 1000000000000.0]",138,0.537828660241677,0.5877618704010368,13
