model,exp6_strategy,exp5_strategy,exp6_forged_dice,exp5_forged_dice,delta_forged_dice,exp6_component_f1_iou010,exp5_component_f1_iou010,delta_component_f1_iou010,exp6_authentic_fp_rate,exp5_authentic_fp_rate,delta_authentic_fp_rate,exp6_image_f1,exp5_image_f1,delta_image_f1,exp6_dice_lt_005_count,exp5_dice_lt_005_count,delta_dice_lt_005_count,exp6_q1_dice,exp5_q1_dice,delta_q1_dice,exp6_q1_lt005,exp5_q1_lt005,delta_q1_lt005,exp6_q2_dice,exp5_q2_dice,delta_q2_dice,exp6_q2_lt005,exp5_q2_lt005,delta_q2_lt005,exp6_q3_dice,exp5_q3_dice,delta_q3_dice,exp6_q3_lt005,exp5_q3_lt005,delta_q3_lt005,exp6_q4_dice,exp5_q4_dice,delta_q4_dice,exp6_q4_lt005,exp5_q4_lt005,delta_q4_lt005,success_criteria_met_reconstructed
SegFormer-B0 384,balanced_final_score,balanced_final_score,0.6451007321306009,0.5572968914104983,0.08780384072010261,0.4384047908125502,0.3262666187567373,0.11213817205581289,0.3559322033898305,0.2436440677966101,0.1122881355932204,0.7619738751814223,0.7292110874200426,0.03276278776137975,163,288,-125,0.2766851648478151,0.0015264909321801,0.275158673915635,65,137,-72,0.3249351935693173,0.090355717697048,0.23457947587226932,53,110,-57,0.4398551739287181,0.4285468602141619,0.011308313714556206,35,28,7,0.6921767602785507,0.6010382674503022,0.09113849282824849,10,13,-3,5
SegFormer-B0 384,small_object_practical,small_object_focused,0.6451073000710893,0.558320382072782,0.08678691799830729,0.4179339962798992,0.2963102409638554,0.1216237553160438,0.4004237288135593,0.5953389830508474,-0.19491525423728812,0.7619738751814223,0.7292110874200426,0.03276278776137975,149,165,-16,0.2848960481240344,0.1986110587880065,0.0862849893360279,60,73,-13,0.3530280583848456,0.2467467178282425,0.10628134055660307,46,58,-12,0.4498556416439647,0.4417108810713351,0.008144760572629584,33,23,10,0.6920599840138029,0.6009091697305268,0.0911508142832761,10,11,-1,5
SegFormer-B0 384,best_forged_dice,best_forged_dice,0.645287467810957,0.558605794031132,0.08668167377982505,0.4124454286043471,0.3452733638567196,0.06717206474762749,0.4004237288135593,0.4300847457627119,-0.029661016949152574,0.7619738751814223,0.7292110874200426,0.03276278776137975,149,203,-54,0.2849587545150604,0.1026308722197644,0.182327882295296,60,106,-46,0.3530735663095148,0.2367916857247095,0.11628188058480532,46,63,-17,0.4498560838326437,0.4413444394368611,0.008511644395782614,33,23,10,0.6921929358011213,0.6007292263628212,0.09146370943830007,10,11,-1,5
EfficientNetB0-UNet 384,balanced_final_score,balanced_final_score,0.5769742930841741,0.5198818758696719,0.0570924172145022,0.4206477119926395,0.3251470079557246,0.09550070403691491,0.2394067796610169,0.1991525423728813,0.0402542372881356,0.7877813504823151,0.740029542097489,0.04775180838482618,165,278,-113,0.2833055025462513,0.0161897802338723,0.267115722312379,64,132,-68,0.3173700881170198,0.1097559536620453,0.20761413445497448,57,105,-48,0.4126572038440944,0.4105747599645838,0.002082443879510565,33,27,6,0.568471227401717,0.5377421871056042,0.030729040296112786,11,14,-3,6
EfficientNetB0-UNet 384,low_false_alarm,low_false_alarm,0.5769742930841741,0.5064746044429308,0.07049968864124334,0.4206477119926395,0.3200522534291313,0.10059545856350821,0.2394067796610169,0.2542372881355932,-0.014830508474576315,0.7877813504823151,0.740029542097489,0.04775180838482618,165,268,-103,0.2833055025462513,0.014932453490711,0.2683730490555403,64,131,-67,0.3173700881170198,0.1130764164686129,0.2042936716484069,57,101,-44,0.4126572038440944,0.4026481875071409,0.010009016336953502,33,24,9,0.568471227401717,0.5378590339659335,0.030612193435783475,11,12,-1,6
EfficientNetB0-UNet 384,best_forged_dice,best_forged_dice,0.5770501002497886,0.5214642865452059,0.05558581370458271,0.4008097913110752,0.3225664689079323,0.07824332240314291,0.2796610169491525,0.5190677966101694,-0.23940677966101692,0.7877813504823151,0.740029542097489,0.04775180838482618,155,166,-11,0.2850905676219027,0.2119966889290652,0.07309387869283751,63,76,-13,0.3441796805815041,0.2680825806302019,0.0760970999513022,49,55,-6,0.4215820953582491,0.4191828514343035,0.002399243923945582,32,22,10,0.5682536168129821,0.538180590599862,0.030073026213120135,11,13,-2,6
EfficientNetB0-UNet 384,small_object_practical,small_object_focused,0.5756934170948325,0.5068785292499748,0.06881488784485768,0.3987747896478205,0.2089996281145407,0.18977516153327978,0.3008474576271186,0.7033898305084746,-0.40254237288135597,0.7877813504823151,0.740029542097489,0.04775180838482618,147,135,12,0.288480909291491,0.213674984075928,0.07480592521556301,59,63,-4,0.3533073368879454,0.2775574918050921,0.07574984508285332,47,43,4,0.4261233012006691,0.41138517980294,0.01473812139772912,31,20,11,0.5664069642933399,0.5416824114681438,0.024724552825196144,10,9,1,5
EfficientNetB0-UNet 384,best_small_mask_q1_dice,small_object_focused,0.5569288283559217,0.5068785292499748,0.05005029910594694,0.2683867745561588,0.2089996281145407,0.05938714644161808,0.4724576271186441,0.7033898305084746,-0.2309322033898305,0.7877813504823151,0.740029542097489,0.04775180838482618,130,135,-5,0.2999238187867669,0.213674984075928,0.08624883471083888,49,63,-14,0.3623058118780899,0.2775574918050921,0.08474832007299782,44,43,1,0.429007436664473,0.41138517980294,0.017622256861533014,28,20,8,0.570412463507739,0.5416824114681438,0.028730052039595222,9,9,0,5
SegFormer-B0 384,low_false_alarm,low_false_alarm,0.61803065374559,0.5572968914104983,0.060733762335091646,0.3930218012534226,0.3262666187567373,0.06675518249668533,0.2902542372881356,0.2436440677966101,0.046610169491525494,0.7619738751814223,0.7292110874200426,0.03276278776137975,228,288,-60,0.1301808821869972,0.0015264909321801,0.1286543912548171,97,137,-40,0.2678243324063895,0.090355717697048,0.17746861470934147,66,110,-44,0.3692492590934091,0.4285468602141619,-0.059297601120752774,53,28,25,0.6818600178032541,0.6010382674503022,0.08082175035295192,12,13,-1,6
SegFormer-B0 384,best_small_mask_q1_dice,small_object_focused,0.5597159457714687,0.558320382072782,0.0013955636986866526,0.3235753503253928,0.2963102409638554,0.02726510936153742,0.6313559322033898,0.5953389830508474,0.03601694915254239,0.7619738751814223,0.7292110874200426,0.03276278776137975,102,165,-63,0.306554456860081,0.1986110587880065,0.10794339807207448,37,73,-36,0.3530744098543784,0.2467467178282425,0.10632769202613587,32,58,-26,0.4405103667874911,0.4417108810713351,-0.0012005142838439897,25,23,2,0.6709904251178028,0.6009091697305268,0.07008125538727605,8,11,-3,5
