sample_id,image_id,class_name,image_label,label,image_path,mask_paths,mask_path
authentic__10,10,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10.png,,
authentic__10015,10015,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10015.png,,
authentic__10017,10017,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10017.png,,
authentic__10030,10030,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10030.png,,
authentic__10070,10070,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10070.png,,
authentic__1008,1008,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1008.png,,
authentic__10138,10138,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10138.png,,
authentic__10139,10139,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10139.png,,
authentic__10147,10147,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10147.png,,
authentic__10152,10152,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10152.png,,
authentic__10176,10176,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10176.png,,
authentic__10180,10180,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10180.png,,
authentic__10208,10208,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10208.png,,
authentic__10266,10266,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10266.png,,
authentic__10277,10277,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10277.png,,
authentic__10290,10290,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10290.png,,
authentic__10296,10296,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10296.png,,
authentic__10348,10348,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10348.png,,
authentic__10398,10398,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10398.png,,
authentic__10408,10408,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10408.png,,
authentic__1041,1041,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1041.png,,
authentic__10435,10435,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10435.png,,
authentic__10448,10448,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10448.png,,
authentic__10457,10457,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10457.png,,
authentic__10458,10458,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10458.png,,
authentic__10476,10476,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10476.png,,
authentic__10570,10570,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10570.png,,
authentic__10602,10602,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10602.png,,
authentic__10632,10632,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10632.png,,
authentic__10636,10636,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10636.png,,
authentic__10645,10645,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10645.png,,
authentic__10703,10703,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10703.png,,
authentic__10730,10730,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10730.png,,
authentic__10742,10742,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10742.png,,
authentic__10799,10799,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10799.png,,
authentic__10838,10838,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10838.png,,
