sample_id,image_id,class_name,image_label,label,image_path,mask_paths,mask_path
authentic__10017,10017,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10017.png,,
authentic__10030,10030,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10030.png,,
authentic__10070,10070,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10070.png,,
authentic__10138,10138,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10138.png,,
authentic__10139,10139,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10139.png,,
authentic__10147,10147,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10147.png,,
authentic__10152,10152,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10152.png,,
authentic__10208,10208,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10208.png,,
authentic__10266,10266,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10266.png,,
authentic__10277,10277,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10277.png,,
authentic__10290,10290,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10290.png,,
authentic__10348,10348,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10348.png,,
authentic__10398,10398,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10398.png,,
authentic__10435,10435,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10435.png,,
authentic__10448,10448,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10448.png,,
authentic__10457,10457,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10457.png,,
